exercise_slug,language_code,name
Dumbbell_One-Arm_Shoulder_Press,en,Dumbbell One-Arm Shoulder Press
Dumbbell_One-Arm_Shoulder_Press,vi,Đẩy vai đơn tay tạ đơn
Dumbbell_One-Arm_Triceps_Extension,en,Dumbbell One-Arm Triceps Extension
Dumbbell_One-Arm_Triceps_Extension,vi,Gập tay sau tạ đơn 1 tay
Dumbbell_One-Arm_Upright_Row,en,Dumbbell One-Arm Upright Row
Dumbbell_One-Arm_Upright_Row,vi,Kéo vai trước tạ đơn một tay
Dumbbell_Prone_Incline_Curl,en,Dumbbell Prone Incline Curl
Dumbbell_Prone_Incline_Curl,vi,Cuốn tạ nằm sấp ghế dốc
Dumbbell_Raise,en,Dumbbell Raise
Dumbbell_Raise,vi,Nâng tạ tay
Dumbbell_Rear_Lunge,en,Dumbbell Rear Lunge
Dumbbell_Rear_Lunge,vi,Quỳ gối sau tạ đơn
Dumbbell_Scaption,en,Dumbbell Scaption
Dumbbell_Scaption,vi,Nâng tạ Scaption
Dumbbell_Seated_Box_Jump,en,Dumbbell Seated Box Jump
Dumbbell_Seated_Box_Jump,vi,Nhảy hộp ngồi tạ đơn
Dumbbell_Seated_One-Leg_Calf_Raise,en,Dumbbell Seated One-Leg Calf Raise
Dumbbell_Seated_One-Leg_Calf_Raise,vi,Nhón gót một chân ngồi với tạ đơn
Dumbbell_Shoulder_Press,en,Dumbbell Shoulder Press
Dumbbell_Shoulder_Press,vi,Đẩy Vai Tạ Đơn
Dumbbell_Shrug,en,Dumbbell Shrug
Dumbbell_Shrug,vi,Nhún cầu vai
Dumbbell_Side_Bend,en,Dumbbell Side Bend
Dumbbell_Side_Bend,vi,Nghiêng người tạ đơn
Dumbbell_Squat,en,Dumbbell Squat
Dumbbell_Squat,vi,Squat với tạ đơn
Dumbbell_Squat_To_A_Bench,en,Dumbbell Squat To A Bench
Dumbbell_Squat_To_A_Bench,vi,Squat Tạ Đơn Với Ghế
Dumbbell_Step_Ups,en,Dumbbell Step Ups
Dumbbell_Step_Ups,vi,Bước lên ghế với tạ đơn
Dumbbell_Tricep_Extension_-Pronated_Grip,en,Dumbbell Tricep Extension -Pronated Grip
Dumbbell_Tricep_Extension_-Pronated_Grip,vi,Đẩy tạ đơn duỗi tay sau (nghiêng sấp)
Dynamic_Back_Stretch,en,Dynamic Back Stretch
Dynamic_Back_Stretch,vi,Kéo giãn lưng động
Dynamic_Chest_Stretch,en,Dynamic Chest Stretch
Dynamic_Chest_Stretch,vi,Kéo giãn ngực động
EZ-Bar_Curl,en,EZ-Bar Curl
EZ-Bar_Curl,vi,Cuốn tay trước thanh EZ
EZ-Bar_Skullcrusher,en,EZ-Bar Skullcrusher
EZ-Bar_Skullcrusher,vi,Duỗi tay sau tạ Ziczac
Elbow_Circles,en,Elbow Circles
Elbow_Circles,vi,Xoay khuỷu tay
Elbow_to_Knee,en,Elbow to Knee
Elbow_to_Knee,vi,Gập bụng chéo
Elbows_Back,en,Elbows Back
Elbows_Back,vi,Kéo khuỷu tay ra sau
Elevated_Back_Lunge,en,Elevated Back Lunge
Elevated_Back_Lunge,vi,Lunge bước sau trên bục
Elevated_Cable_Rows,en,Elevated Cable Rows
Elevated_Cable_Rows,vi,Kéo cáp lưng cao
Elliptical_Trainer,en,Elliptical Trainer
Elliptical_Trainer,vi,Máy chạy bộ trên không
Exercise_Ball_Crunch,en,Exercise Ball Crunch
Exercise_Ball_Crunch,vi,Gập bụng bóng
Exercise_Ball_Pull-In,en,Exercise Ball Pull-In
Exercise_Ball_Pull-In,vi,Gập bụng với bóng
Extended_Range_One-Arm_Kettlebell_Floor_Press,en,Extended Range One-Arm Kettlebell Floor Press
Extended_Range_One-Arm_Kettlebell_Floor_Press,vi,Đẩy tạ chuông nằm sàn 1 tay mở rộng biên độ
External_Rotation,en,External Rotation
External_Rotation,vi,Xoay ngoài
External_Rotation_with_Band,en,External Rotation with Band
External_Rotation_with_Band,vi,Xoay ngoài vai với dây kháng lực
External_Rotation_with_Cable,en,External Rotation with Cable
External_Rotation_with_Cable,vi,Xoay ngoài cáp
Face_Pull,en,Face Pull
Face_Pull,vi,Kéo mặt
Farmers_Walk,en,Farmer's Walk
Farmers_Walk,vi,Đi bộ xách tạ
Fast_Skipping,en,Fast Skipping
Fast_Skipping,vi,Nhảy dây nhanh
Finger_Curls,en,Finger Curls
Finger_Curls,vi,Cuộn ngón tay
Flat_Bench_Cable_Flyes,en,Flat Bench Cable Flyes
Flat_Bench_Cable_Flyes,vi,Ép ngực cáp ngang
Flat_Bench_Leg_Pull-In,en,Flat Bench Leg Pull-In
Flat_Bench_Leg_Pull-In,vi,Kéo gối trên ghế phẳng
Flat_Bench_Lying_Leg_Raise,en,Flat Bench Lying Leg Raise
Flat_Bench_Lying_Leg_Raise,vi,Nâng chân nằm ghế phẳng
Flexor_Incline_Dumbbell_Curls,en,Flexor Incline Dumbbell Curls
Flexor_Incline_Dumbbell_Curls,vi,Cuốn tạ đơn ghế dốc
Floor_Glute-Ham_Raise,en,Floor Glute-Ham Raise
Floor_Glute-Ham_Raise,vi,Gập đùi sau nằm sàn
Floor_Press,en,Floor Press
Floor_Press,vi,Đẩy ngực nằm sàn
Floor_Press_with_Chains,en,Floor Press with Chains
Floor_Press_with_Chains,vi,Đẩy Ngực Sàn Dây Xích
Flutter_Kicks,en,Flutter Kicks
Flutter_Kicks,vi,Đá chân cắt kéo
Foot-SMR,en,Foot-SMR
Foot-SMR,vi,Lăn chân
Forward_Drag_with_Press,en,Forward Drag with Press
Forward_Drag_with_Press,vi,Kéo tạ bước tiến kết hợp đẩy tạ
Frankenstein_Squat,en,Frankenstein Squat
Frankenstein_Squat,vi,Squat tay thẳng
Freehand_Jump_Squat,en,Freehand Jump Squat
Freehand_Jump_Squat,vi,Nhảy Squat
Frog_Hops,en,Frog Hops
Frog_Hops,vi,Nhảy ếch
Frog_Sit-Ups,en,Frog Sit-Ups
Frog_Sit-Ups,vi,Gập bụng ếch
Front_Barbell_Squat,en,Front Barbell Squat
Front_Barbell_Squat,vi,Squat trước với tạ đòn
Front_Barbell_Squat_To_A_Bench,en,Front Barbell Squat To A Bench
Front_Barbell_Squat_To_A_Bench,vi,Squat Trước Tạ Đòn Chạm Ghế
Front_Box_Jump,en,Front Box Jump
Front_Box_Jump,vi,Nhảy hộp về phía trước
Front_Cable_Raise,en,Front Cable Raise
Front_Cable_Raise,vi,Kéo cáp vai trước
Front_Cone_Hops_or_hurdle_hops,en,Front Cone Hops (or hurdle hops)
Front_Cone_Hops_or_hurdle_hops,vi,Nhảy vượt chướng ngại vật phía trước
Front_Dumbbell_Raise,en,Front Dumbbell Raise
Front_Dumbbell_Raise,vi,Nâng tạ đơn vai trước
Front_Incline_Dumbbell_Raise,en,Front Incline Dumbbell Raise
Front_Incline_Dumbbell_Raise,vi,Nâng tạ đôi trước mặt ghế dốc
Front_Leg_Raises,en,Front Leg Raises
Front_Leg_Raises,vi,Nâng chân trước
Front_Plate_Raise,en,Front Plate Raise
Front_Plate_Raise,vi,Nâng tạ đĩa trước
Front_Raise_And_Pullover,en,Front Raise And Pullover
Front_Raise_And_Pullover,vi,Nâng tạ trước và kéo tạ qua đầu
Front_Squat_Clean_Grip,en,Front Squat (Clean Grip)
Front_Squat_Clean_Grip,vi,Squat trước (Cầm Clean)
Front_Squats_With_Two_Kettlebells,en,Front Squats With Two Kettlebells
Front_Squats_With_Two_Kettlebells,vi,Squat trước với 2 tạ chuông
Front_Two-Dumbbell_Raise,en,Front Two-Dumbbell Raise
Front_Two-Dumbbell_Raise,vi,Nâng tạ đôi phía trước
Full_Range-Of-Motion_Lat_Pulldown,en,Full Range-Of-Motion Lat Pulldown
Full_Range-Of-Motion_Lat_Pulldown,vi,Kéo xô hết biên độ
Gironda_Sternum_Chins,en,Gironda Sternum Chins
Gironda_Sternum_Chins,vi,Kéo xô chạm ngực
Glute_Ham_Raise,en,Glute Ham Raise
Glute_Ham_Raise,vi,Gập đùi sau
Glute_Kickback,en,Glute Kickback
Glute_Kickback,vi,Đá mông sau
Goblet_Squat,en,Goblet Squat
Goblet_Squat,vi,Squat gánh tạ trước (Goblet)
Good_Morning,en,Good Morning
Good_Morning,vi,Chào buổi sáng
Good_Morning_off_Pins,en,Good Morning off Pins
Good_Morning_off_Pins,vi,Gập người chào buổi sáng
Gorilla_Chin_Crunch,en,Gorilla Chin/Crunch
Gorilla_Chin_Crunch,vi,Kéo xà Gập bụng
Groin_and_Back_Stretch,en,Groin and Back Stretch
Groin_and_Back_Stretch,vi,Căng cơ háng và lưng
Groiners,en,Groiners
Groiners,vi,Nhảy mở chân
Hack_Squat,en,Hack Squat
Hack_Squat,vi,Hack Squat
Hammer_Curls,en,Hammer Curls
Hammer_Curls,vi,Cuốn tạ búa
Hammer_Grip_Incline_DB_Bench_Press,en,Hammer Grip Incline DB Bench Press
Hammer_Grip_Incline_DB_Bench_Press,vi,Đẩy ngực trên với tạ đơn tay búa
Hamstring-SMR,en,Hamstring-SMR
Hamstring-SMR,vi,Lăn cơ đùi sau
Hamstring_Stretch,en,Hamstring Stretch
Hamstring_Stretch,vi,Kéo giãn gân kheo
Handstand_Push-Ups,en,Handstand Push-Ups
Handstand_Push-Ups,vi,Chống đẩy trồng chuối
Hang_Clean,en,Hang Clean
Hang_Clean,vi,Nhấc tạ treo
Hang_Clean_-_Below_the_Knees,en,Hang Clean - Below the Knees
Hang_Clean_-_Below_the_Knees,vi,Tư thế đứng đẩy tạ sạch - Dưới đầu gối
Hang_Snatch,en,Hang Snatch
Hang_Snatch,vi,Tư thế giật tạ trên cao (trong tư thế treo)
Hang_Snatch_-_Below_Knees,en,Hang Snatch - Below Knees
Hang_Snatch_-_Below_Knees,vi,Giật tạ treo dưới gối
Hanging_Bar_Good_Morning,en,Hanging Bar Good Morning
Hanging_Bar_Good_Morning,vi,Gập người chào buổi sáng thanh treo
Hanging_Leg_Raise,en,Hanging Leg Raise
Hanging_Leg_Raise,vi,Nâng chân treo xà
Hanging_Pike,en,Hanging Pike
Hanging_Pike,vi,Gập bụng treo người
Heaving_Snatch_Balance,en,Heaving Snatch Balance
Heaving_Snatch_Balance,vi,Snatch Balance Nâng Cao
Heavy_Bag_Thrust,en,Heavy Bag Thrust
Heavy_Bag_Thrust,vi,Đẩy bao cát
High_Cable_Curls,en,High Cable Curls
High_Cable_Curls,vi,Cuốn tạ cáp cao
Hip_Circles_prone,en,Hip Circles (prone)
Hip_Circles_prone,vi,Xoay khớp hông (nằm sấp)
Hip_Extension_with_Bands,en,Hip Extension with Bands
Hip_Extension_with_Bands,vi,Đá mông dây kháng lực
Hip_Flexion_with_Band,en,Hip Flexion with Band
Hip_Flexion_with_Band,vi,Gập hông với dây kháng lực
Hip_Lift_with_Band,en,Hip Lift with Band
Hip_Lift_with_Band,vi,Nâng Hông với Dây Kháng Lực
Hug_A_Ball,en,Hug A Ball
Hug_A_Ball,vi,Ôm bóng
Hug_Knees_To_Chest,en,Hug Knees To Chest
Hug_Knees_To_Chest,vi,Ôm gối kéo ngực
Hurdle_Hops,en,Hurdle Hops
Hurdle_Hops,vi,Nhảy vượt chướng ngại vật
Hyperextensions_Back_Extensions,en,Hyperextensions (Back Extensions)
Hyperextensions_Back_Extensions,vi,Đẩy lưng
Hyperextensions_With_No_Hyperextension_Bench,en,Hyperextensions With No Hyperextension Bench
Hyperextensions_With_No_Hyperextension_Bench,vi,Gập người trên ghế phẳng
IT_Band_and_Glute_Stretch,en,IT Band and Glute Stretch
IT_Band_and_Glute_Stretch,vi,Kéo giãn IT Band và cơ mông
Iliotibial_Tract-SMR,en,Iliotibial Tract-SMR
Iliotibial_Tract-SMR,vi,Kéo giãn dải chậu chày
Inchworm,en,Inchworm
Inchworm,vi,Sâu Đo
Incline_Barbell_Triceps_Extension,en,Incline Barbell Triceps Extension
Incline_Barbell_Triceps_Extension,vi,Đẩy tạ đòn duỗi tay sau ghế dốc
Incline_Bench_Pull,en,Incline Bench Pull
Incline_Bench_Pull,vi,Kéo tạ dốc lên
Incline_Cable_Chest_Press,en,Incline Cable Chest Press
Incline_Cable_Chest_Press,vi,Đẩy ngực trên cáp
Incline_Cable_Flye,en,Incline Cable Flye
Incline_Cable_Flye,vi,Ép ngực cáp dốc lên
Incline_Dumbbell_Bench_With_Palms_Facing_In,en,Incline Dumbbell Bench With Palms Facing In
Incline_Dumbbell_Bench_With_Palms_Facing_In,vi,Đẩy ngực trên với tạ đơn (lòng bàn tay hướng vào)
Incline_Dumbbell_Curl,en,Incline Dumbbell Curl
Incline_Dumbbell_Curl,vi,Cuốn tạ đơn ghế dốc
Incline_Dumbbell_Flyes,en,Incline Dumbbell Flyes
Incline_Dumbbell_Flyes,vi,Bay ngực trên tạ đơn
Incline_Dumbbell_Flyes_-_With_A_Twist,en,Incline Dumbbell Flyes - With A Twist
Incline_Dumbbell_Flyes_-_With_A_Twist,vi,Bay Ngực Trên Tạ Đơn Xoay
Incline_Dumbbell_Press,en,Incline Dumbbell Press
Incline_Dumbbell_Press,vi,Đẩy ngực trên tạ đơn
Incline_Hammer_Curls,en,Incline Hammer Curls
Incline_Hammer_Curls,vi,Cuốn tạ búa dốc lên
Incline_Inner_Biceps_Curl,en,Incline Inner Biceps Curl
Incline_Inner_Biceps_Curl,vi,Cuốn tạ đơn ghế dốc (nằm ngửa)
Incline_Push-Up,en,Incline Push-Up
Incline_Push-Up,vi,Chống đẩy dốc lên
Incline_Push-Up_Close-Grip,en,Incline Push-Up Close-Grip
Incline_Push-Up_Close-Grip,vi,Hít đất dốc tay hẹp
Incline_Push-Up_Depth_Jump,en,Incline Push-Up Depth Jump
Incline_Push-Up_Depth_Jump,vi,Chống Đẩy Dốc Nhảy Sâu
Incline_Push-Up_Medium,en,Incline Push-Up Medium
Incline_Push-Up_Medium,vi,Chống đẩy dốc lên
Incline_Push-Up_Reverse_Grip,en,Incline Push-Up Reverse Grip
Incline_Push-Up_Reverse_Grip,vi,Hít đất dốc ngược tay
Incline_Push-Up_Wide,en,Incline Push-Up Wide
Incline_Push-Up_Wide,vi,Chống đẩy dốc rộng
Intermediate_Groin_Stretch,en,Intermediate Groin Stretch
Intermediate_Groin_Stretch,vi,Kéo giãn háng trung cấp
Intermediate_Hip_Flexor_and_Quad_Stretch,en,Intermediate Hip Flexor and Quad Stretch
Intermediate_Hip_Flexor_and_Quad_Stretch,vi,Căng cơ gập hông và cơ đùi giữa
Internal_Rotation_with_Band,en,Internal Rotation with Band
Internal_Rotation_with_Band,vi,Xoay vai trong với dây kháng lực
Inverted_Row,en,Inverted Row
Inverted_Row,vi,Kéo xô ngược
Inverted_Row_with_Straps,en,Inverted Row with Straps
Inverted_Row_with_Straps,vi,Kéo lưng ngược dây treo
Iron_Cross,en,Iron Cross
Iron_Cross,vi,Chữ thập sắt
Iron_Crosses_stretch,en,Iron Crosses (stretch)
Iron_Crosses_stretch,vi,Kéo gối vặn mình
Isometric_Chest_Squeezes,en,Isometric Chest Squeezes
Isometric_Chest_Squeezes,vi,Isometric Chest Squeeze
Isometric_Neck_Exercise_-_Front_And_Back,en,Isometric Neck Exercise - Front And Back
Isometric_Neck_Exercise_-_Front_And_Back,vi,Đẳng lực cổ trước sau
Isometric_Neck_Exercise_-_Sides,en,Isometric Neck Exercise - Sides
Isometric_Neck_Exercise_-_Sides,vi,Tập cổ kháng lực ngang
Isometric_Wipers,en,Isometric Wipers
Isometric_Wipers,vi,Gạt nước tĩnh
JM_Press,en,JM Press
JM_Press,vi,Đẩy tạ JM
Jackknife_Sit-Up,en,Jackknife Sit-Up
Jackknife_Sit-Up,vi,Gập bụng chữ V
Janda_Sit-Up,en,Janda Sit-Up
Janda_Sit-Up,vi,Gập bụng Janda
Jefferson_Squats,en,Jefferson Squats
Jefferson_Squats,vi,Squat kiểu Jefferson
Jerk_Balance,en,Jerk Balance
Jerk_Balance,vi,Jerk Thăng Bằng
Jerk_Dip_Squat,en,Jerk Dip Squat
Jerk_Dip_Squat,vi,Squat Nhún Giật
Jogging_Treadmill,en,"Jogging, Treadmill"
Jogging_Treadmill,vi,Chạy bộ trên máy
Keg_Load,en,Keg Load
Keg_Load,vi,Vác thùng/bao tải
Kettlebell_Arnold_Press,en,Kettlebell Arnold Press
Kettlebell_Arnold_Press,vi,Đẩy vai Arnold với tạ chuông
Kettlebell_Dead_Clean,en,Kettlebell Dead Clean
Kettlebell_Dead_Clean,vi,Clean Tạ Chuông Chết
Kettlebell_Figure_8,en,Kettlebell Figure 8
Kettlebell_Figure_8,vi,Kettlebell số 8
Kettlebell_Hang_Clean,en,Kettlebell Hang Clean
Kettlebell_Hang_Clean,vi,Tạ ấm Hang Clean
Kettlebell_One-Legged_Deadlift,en,Kettlebell One-Legged Deadlift
Kettlebell_One-Legged_Deadlift,vi,Deadlift Một Chân Với Tạ Chuông
Kettlebell_Pass_Between_The_Legs,en,Kettlebell Pass Between The Legs
Kettlebell_Pass_Between_The_Legs,vi,Chuyền tạ ấm qua chân
Kettlebell_Pirate_Ships,en,Kettlebell Pirate Ships
Kettlebell_Pirate_Ships,vi,Đu tạ chuông kiểu cướp biển
Kettlebell_Pistol_Squat,en,Kettlebell Pistol Squat
Kettlebell_Pistol_Squat,vi,Squat một chân tạ ấm
Kettlebell_Seated_Press,en,Kettlebell Seated Press
Kettlebell_Seated_Press,vi,Đẩy tạ chuông ngồi
Kettlebell_Seesaw_Press,en,Kettlebell Seesaw Press
Kettlebell_Seesaw_Press,vi,Đẩy tạ ấm luân phiên
Kettlebell_Sumo_High_Pull,en,Kettlebell Sumo High Pull
Kettlebell_Sumo_High_Pull,vi,Kéo tạ chuông kiểu Sumo lên cao
Kettlebell_Thruster,en,Kettlebell Thruster
Kettlebell_Thruster,vi,Đẩy tạ ấm
Kettlebell_Turkish_Get-Up_Lunge_style,en,Kettlebell Turkish Get-Up (Lunge style)
Kettlebell_Turkish_Get-Up_Lunge_style,vi,Turkish Get-Up với Tạ Chuông (kiểu Lunge)
Kettlebell_Turkish_Get-Up_Squat_style,en,Kettlebell Turkish Get-Up (Squat style)
Kettlebell_Turkish_Get-Up_Squat_style,vi,Turkish Get-Up Tạ Chuông (Kiểu Squat)
Kettlebell_Windmill,en,Kettlebell Windmill
Kettlebell_Windmill,vi,Windmill Tạ Chuông
Kipping_Muscle_Up,en,Kipping Muscle Up
Kipping_Muscle_Up,vi,Kéo xà tay trước kiểu Kipping
Knee_Across_The_Body,en,Knee Across The Body
Knee_Across_The_Body,vi,Kéo gối qua thân người
Knee_Circles,en,Knee Circles
Knee_Circles,vi,Xoay đầu gối
Knee_Hip_Raise_On_Parallel_Bars,en,Knee/Hip Raise On Parallel Bars
Knee_Hip_Raise_On_Parallel_Bars,vi,Nâng gối/hông xà kép
Knee_Tuck_Jump,en,Knee Tuck Jump
Knee_Tuck_Jump,vi,Nhảy co gối
Kneeling_Arm_Drill,en,Kneeling Arm Drill
Kneeling_Arm_Drill,vi,Tập tay quỳ
Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists,en,Kneeling Cable Crunch With Alternating Oblique Twists
Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists,vi,Gập bụng cáp quỳ xoay chéo (Cable Crunch)
Kneeling_Cable_Triceps_Extension,en,Kneeling Cable Triceps Extension
Kneeling_Cable_Triceps_Extension,vi,Đẩy cáp duỗi tay sau quỳ
Kneeling_Forearm_Stretch,en,Kneeling Forearm Stretch
Kneeling_Forearm_Stretch,vi,Kéo giãn cẳng tay quỳ
Kneeling_High_Pulley_Row,en,Kneeling High Pulley Row
Kneeling_High_Pulley_Row,vi,Kéo cáp cao quỳ gối
Kneeling_Hip_Flexor,en,Kneeling Hip Flexor
Kneeling_Hip_Flexor,vi,Ép dẻo cơ gập hông quỳ gối
Kneeling_Jump_Squat,en,Kneeling Jump Squat
Kneeling_Jump_Squat,vi,Squat Nhảy Từ Quỳ
Kneeling_Single-Arm_High_Pulley_Row,en,Kneeling Single-Arm High Pulley Row
Kneeling_Single-Arm_High_Pulley_Row,vi,Kéo cáp cao một tay quỳ gối
Kneeling_Squat,en,Kneeling Squat
Kneeling_Squat,vi,Squat quỳ
Landmine_180s,en,Landmine 180's
Landmine_180s,vi,Xoay thanh tạ 180 độ
Landmine_Linear_Jammer,en,Landmine Linear Jammer
Landmine_Linear_Jammer,vi,Đẩy ngực trên máy Landmine
Lateral_Bound,en,Lateral Bound
Lateral_Bound,vi,Nhảy biên độ ngang
Lateral_Box_Jump,en,Lateral Box Jump
Lateral_Box_Jump,vi,Nhảy hộp ngang
Lateral_Cone_Hops,en,Lateral Cone Hops
Lateral_Cone_Hops,vi,Nhảy cone ngang
Lateral_Raise_-_With_Bands,en,Lateral Raise - With Bands
Lateral_Raise_-_With_Bands,vi,Bay vai ngang với dây kháng lực
Latissimus_Dorsi-SMR,en,Latissimus Dorsi-SMR
Latissimus_Dorsi-SMR,vi,Massage Lưng rộng
Leg-Over_Floor_Press,en,Leg-Over Floor Press
Leg-Over_Floor_Press,vi,Đẩy ngực sàn chân vắt
Leg-Up_Hamstring_Stretch,en,Leg-Up Hamstring Stretch
Leg-Up_Hamstring_Stretch,vi,Kéo giãn cơ gân kheo nâng chân
Leg_Extensions,en,Leg Extensions
Leg_Extensions,vi,Đá đùi trước
Leg_Lift,en,Leg Lift
Leg_Lift,vi,Nâng chân
Leg_Press,en,Leg Press
Leg_Press,vi,Đẩy chân
Leg_Pull-In,en,Leg Pull-In
Leg_Pull-In,vi,Kéo gối
Leverage_Chest_Press,en,Leverage Chest Press
Leverage_Chest_Press,vi,Đẩy ngực máy đòn bẩy
Leverage_Deadlift,en,Leverage Deadlift
Leverage_Deadlift,vi,Nâng tạ đòn
Leverage_Decline_Chest_Press,en,Leverage Decline Chest Press
Leverage_Decline_Chest_Press,vi,Đẩy Ngực Dưới Máy Tác Động Lực
Leverage_High_Row,en,Leverage High Row
Leverage_High_Row,vi,Kéo xô máy ngang
Leverage_Incline_Chest_Press,en,Leverage Incline Chest Press
Leverage_Incline_Chest_Press,vi,Đẩy ngực trên máy
Leverage_Iso_Row,en,Leverage Iso Row
Leverage_Iso_Row,vi,Kéo Lưng Máy Đòn Bẩy
Leverage_Shoulder_Press,en,Leverage Shoulder Press
Leverage_Shoulder_Press,vi,Đẩy vai máy
Leverage_Shrug,en,Leverage Shrug
Leverage_Shrug,vi,Nhún vai máy đòn
Linear_3-Part_Start_Technique,en,Linear 3-Part Start Technique
Linear_3-Part_Start_Technique,vi,Kỹ thuật xuất phát 3 bước thẳng
Linear_Acceleration_Wall_Drill,en,Linear Acceleration Wall Drill
Linear_Acceleration_Wall_Drill,vi,Bài tập tăng tốc độ trên tường
Linear_Depth_Jump,en,Linear Depth Jump
Linear_Depth_Jump,vi,Nhảy độ sâu thẳng
Log_Lift,en,Log Lift
Log_Lift,vi,Đẩy tạ gỗ
London_Bridges,en,London Bridges
London_Bridges,vi,Plank xoay hông
Looking_At_Ceiling,en,Looking At Ceiling
Looking_At_Ceiling,vi,Nhìn trần nhà
Low_Cable_Crossover,en,Low Cable Crossover
Low_Cable_Crossover,vi,Ép ngực cáp thấp
Low_Cable_Triceps_Extension,en,Low Cable Triceps Extension
Low_Cable_Triceps_Extension,vi,Đẩy Tay Sau Kéo Cáp Thấp
Low_Pulley_Row_To_Neck,en,Low Pulley Row To Neck
Low_Pulley_Row_To_Neck,vi,Kéo cáp thấp lên cổ
Lower_Back-SMR,en,Lower Back-SMR
Lower_Back-SMR,vi,Lăn cơ lưng dưới
Lower_Back_Curl,en,Lower Back Curl
Lower_Back_Curl,vi,Gập lưng dưới
Lunge_Pass_Through,en,Lunge Pass Through
Lunge_Pass_Through,vi,Chùng chân luồn tạ
Lunge_Sprint,en,Lunge Sprint
Lunge_Sprint,vi,Chạy nước rút bước tấn
Lying_Bent_Leg_Groin,en,Lying Bent Leg Groin
Lying_Bent_Leg_Groin,vi,Nằm gập gối kéo căng háng
Lying_Cable_Curl,en,Lying Cable Curl
Lying_Cable_Curl,vi,Cuốn cáp nằm
Lying_Cambered_Barbell_Row,en,Lying Cambered Barbell Row
Lying_Cambered_Barbell_Row,vi,Kéo tạ thanh cong nằm sấp
Lying_Close-Grip_Bar_Curl_On_High_Pulley,en,Lying Close-Grip Bar Curl On High Pulley
Lying_Close-Grip_Bar_Curl_On_High_Pulley,vi,Cuốn tay trước nằm cáp ròng rọc cao tay hẹp
Lying_Close-Grip_Barbell_Triceps_Extension_Behind_The_Head,en,Lying Close-Grip Barbell Triceps Extension Behind The Head
Lying_Close-Grip_Barbell_Triceps_Extension_Behind_The_Head,vi,Duỗi tay sau nằm thanh đòn grip hẹp qua đầu
Lying_Close-Grip_Barbell_Triceps_Press_To_Chin,en,Lying Close-Grip Barbell Triceps Press To Chin
Lying_Close-Grip_Barbell_Triceps_Press_To_Chin,vi,Đẩy tạ đòn tay hẹp nằm dốc lên (hoặc: Đẩy tạ tay hẹp tập tay sau)
Lying_Crossover,en,Lying Crossover
Lying_Crossover,vi,Đan chéo chân nằm
Lying_Dumbbell_Tricep_Extension,en,Lying Dumbbell Tricep Extension
Lying_Dumbbell_Tricep_Extension,vi,Duỗi cơ tay sau nằm tạ đơn
Lying_Face_Down_Plate_Neck_Resistance,en,Lying Face Down Plate Neck Resistance
Lying_Face_Down_Plate_Neck_Resistance,vi,Kháng lực cổ nằm sấp với đĩa tạ
Lying_Face_Up_Plate_Neck_Resistance,en,Lying Face Up Plate Neck Resistance
Lying_Face_Up_Plate_Neck_Resistance,vi,Kháng lực cổ nằm ngửa bằng đĩa tạ
Lying_Glute,en,Lying Glute
Lying_Glute,vi,Nằm Đạp Glute
Lying_Hamstring,en,Lying Hamstring
Lying_Hamstring,vi,Nằm Đùi Sau
Lying_High_Bench_Barbell_Curl,en,Lying High Bench Barbell Curl
Lying_High_Bench_Barbell_Curl,vi,Nằm ngửa ghế cao cuốn tạ đòn
Lying_Leg_Curls,en,Lying Leg Curls
Lying_Leg_Curls,vi,Nằm cuốn chân sau
Lying_Machine_Squat,en,Lying Machine Squat
Lying_Machine_Squat,vi,Đạp đùi nằm
Lying_One-Arm_Lateral_Raise,en,Lying One-Arm Lateral Raise
Lying_One-Arm_Lateral_Raise,vi,Nằm một tay nâng tạ bên
Lying_Prone_Quadriceps,en,Lying Prone Quadriceps
Lying_Prone_Quadriceps,vi,Nằm Sấp Duỗi Cơ Đùi Trước
Lying_Rear_Delt_Raise,en,Lying Rear Delt Raise
Lying_Rear_Delt_Raise,vi,Nằm bay vai sau
Lying_Supine_Dumbbell_Curl,en,Lying Supine Dumbbell Curl
Lying_Supine_Dumbbell_Curl,vi,Nằm ngửa cuốn tạ đơn
Lying_T-Bar_Row,en,Lying T-Bar Row
Lying_T-Bar_Row,vi,Kéo tạ chữ T nằm
Lying_Triceps_Press,en,Lying Triceps Press
Lying_Triceps_Press,vi,Đẩy Triceps nằm
Machine_Bench_Press,en,Machine Bench Press
Machine_Bench_Press,vi,Đẩy ngực máy
Machine_Bicep_Curl,en,Machine Bicep Curl
Machine_Bicep_Curl,vi,Cuốn bắp tay máy
Machine_Preacher_Curls,en,Machine Preacher Curls
Machine_Preacher_Curls,vi,Cuốn tay trước máy ngồi (Preacher)
Machine_Shoulder_Military_Press,en,Machine Shoulder (Military) Press
Machine_Shoulder_Military_Press,vi,Đẩy vai máy
Machine_Triceps_Extension,en,Machine Triceps Extension
Machine_Triceps_Extension,vi,Đẩy Tay Sau Máy
Medicine_Ball_Chest_Pass,en,Medicine Ball Chest Pass
Medicine_Ball_Chest_Pass,vi,Ném bóng tạ qua ngực
Medicine_Ball_Full_Twist,en,Medicine Ball Full Twist
Medicine_Ball_Full_Twist,vi,Xoay người với bóng tạ
