Food_Item,Food_Item_VN,Category,Category_VN,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
Turkey Burger (1 patty),Bánh kẹp gà tây (1 miếng/phần ăn),Protein/Meat,Chất đạm/Thịt,160,22,2,8,0,1,400,70,Lunch,250
Mustard (1 tbsp yellow),Mù tạt (15 ml mù tạt vàng),Condiment,Gia vị,10,0.5,1,0.5,0.5,0,160,0,Lunch,0
Potato Salad (1/2 cup),Gỏi khoai tây (120 ml),Meal/Vegetable,Bữa ăn/Rau củ,180,2,19,11,2,3,500,10,Lunch,0
Cranberry Juice (1 cup),Nước ép Nam Việt Quất (240 ml),Beverage,Đồ uống,130,0,33,0,0,30,10,0,Breakfast,240
Spinach (1 cup raw),Rau cải bó xôi (khoảng 240g tươi),Vegetable,Rau củ,7,0.9,"46,023.00",0.1,0.7,0.1,24,0,Lunch,0
Chicken Piccata (1 serving),Thịt gà Piccata (1 khẩu phần),Meal/Meat,Bữa ăn/Thịt,350,30,10,20,1,2,600,90,Dinner,250
Angel Hair Pasta (1 cup),Mì Sợi Tóc Thiên Thần (một khẩu phần),Grain,Ngũ cốc,200,7,42,1,2,1,1,0,Dinner,0
Olive Oil (1 tbsp),Dầu ô liu (15 ml),Condiment,Gia vị,120,0,0,14,0,0,0,0,Dinner,0
Garlic (1 clove),Tỏi (1 tép),Vegetable,Rau củ,4,0.2,0.9,0,0.1,0,1,0,Dinner,0
Salami (3 slices),Salami (3 lát),Protein/Processed,Chất đạm/Chế biến,110,6,1,9,0,0.5,500,30,Snack,0
Provolone Cheese (1 slice),Phô mai Provolone (1 lát),Dairy,Sản phẩm từ sữa,100,7,1,8,0,0.5,250,20,Snack,0
Ginger Ale (1 can),Nước gừng lên men (1 lon),Beverage,Đồ uống,124,0,32,0,0,31,40,0,Snack,355
Shrimp Scampi (1 cup),Tôm xào bơ tỏi (240 mL),Meal/Seafood,Bữa ăn/Hải sản,380,22,40,15,3,3,750,140,Dinner,0
Tiramisu (1 slice),Tiramisu (1 lát),Dessert,Tráng miệng,450,7,42,28,2,25,150,180,Snack,250
Cereal Bar (Fruit),Thanh ngũ cốc (Trái cây),Snack/Processed,Đồ ăn nhẹ/Chế biến,140,2,30,3,1,15,110,0,Breakfast,250
Veal Parmesan (1 serving),Thịt bê kiểu Parmesan (1 khẩu phần),Meal/Meat,Bữa ăn/Thịt,550,40,30,30,4,7,1100,130,Dinner,250
Spaghetti (side),Mì Ý (phần ăn kèm),Grain,Ngũ cốc,100,"46,145.00",21,0.5,1,0.5,0,0,Dinner,0
Hot Chocolate (1 cup),Sô cô la nóng (240 ml),Beverage,Đồ uống,200,3,30,8,2,25,160,10,Snack,240
Coconut Shrimp (5 pcs),Tôm chiên dừa (5 miếng),Meal/Seafood,Bữa ăn/Hải sản,320,10,25,20,3,8,600,80,Dinner,0
Sweet Chili Sauce (2 tbsp),Sốt ớt ngọt (30 ml),Condiment,Gia vị,70,0,17,0,0.5,16,450,0,Dinner,0
White Wine (5 oz glass),Rượu vang trắng (ly 150 ml),Beverage,Đồ uống,121,0.1,"46,237.00",0,0,"46,113.00",5,0,Dinner,0
Trail Mix (1/4 cup),Hỗn hợp hạt dinh dưỡng (60 mL),Snack/Processed,Đồ ăn nhẹ/Chế biến,190,5,20,12,3,14,50,0,Snack,250
Onion Rings (6 rings),Vòng hành chiên (6 chiếc),Snack/Processed,Đồ ăn nhẹ/Chế biến,280,4,30,16,3,4,500,0,Snack,0
Poached Egg (1 large),Trứng chần (1 quả lớn),Protein,Chất đạm,72,"46,087.00",0.4,"46,238.00",0,0.4,140,185,Breakfast,0
Canadian Bacon (2 slices),Thịt Heo Kiểu Canada (2 lát),Protein/Meat,Chất đạm/Thịt,80,12,1,3,0,1,650,40,Breakfast,0
Eggs Benedict (1 serving),Trứng Benedict (1 khẩu phần),Meal/Protein,Bữa ăn/Chất đạm,600,25,30,40,3,4,1100,450,Breakfast,250
Hollandaise Sauce (2 tbsp),Sốt Hollandaise (30 ml),Condiment,Gia vị,110,1,0.5,12,0,0.2,150,50,Breakfast,0
Spinach Artichoke Dip (1/4 cup),Đã xảy ra lỗi. Hãy thử lại.,Snack/Processed,Đồ ăn nhẹ/Chế biến,160,5,6,14,2,2,350,30,Snack,0
Tortilla Chips (1 oz),"Bánh Tortilla Chiên (28,35 g)",Snack/Processed,Đồ ăn nhẹ/Chế biến,140,2,19,7,2,0.5,120,0,Snack,0
Chicken Kebab (2 skewers),Gà xiên nướng Kebab (2 que),Meal/Meat,Bữa ăn/Thịt,280,30,8,14,3,4,500,85,Dinner,250
Bell Peppers & Onions (sautéed),Ớt chuông và Hành tây (áp chảo),Vegetable,Rau củ,60,"46,143.00",10,2,3,6,30,0,Dinner,0
Hummus Wrap (large),Bánh cuộn Hummus (cỡ lớn),Meal/Vegetarian,Bữa ăn/Chay,450,15,60,18,12,5,800,0,Lunch,500
Kombucha (1 cup),Kombucha (240 ml),Beverage,Đồ uống,30,0,7,0,0,6,10,0,Snack,240
Beef Stroganoff (1.5 cups),Bò Stroganoff (355 ml),Meal/Pasta,Bữa ăn/Mì ống,550,30,40,28,4,6,900,100,Dinner,0
Egg Noodles (1 cup cooked),Mì trứng (1 suất 160g đã nấu),Grain,Ngũ cốc,220,8,40,3,2,2,20,50,Dinner,0
Cottage Cheese (1 cup low fat),Phô mai tươi Cottage (240 gram ít béo),Dairy,Sản phẩm từ sữa,160,28,6,"46,144.00",0,4,820,10,Lunch,250
Tomato (1 medium sliced),Cà chua (1 quả cỡ trung bình thái lát),Vegetable,Rau củ,22,"46,023.00","46,238.00",0.2,1.5,"46,056.00",6,0,Lunch,0
Black Pepper (1 tsp),Hạt tiêu đen (5 ml),Condiment,Gia vị,6,0.2,"46,143.00",0.1,0.6,0,0,0,Lunch,0
Chocolate Pudding (1/2 cup),Bánh Pút-đinh Sô-cô-la (120 ml),Dessert,Tráng miệng,150,2,28,4,2,22,130,2,Snack,0
Mackerel (3oz cooked),Cá thu (85g đã nấu chín),Protein/Fish,Chất đạm/Cá,175,16,0,12,0,0,75,65,Dinner,0
Collard Greens (1 cup cooked),Cải rổ (190 gam đã nấu),Vegetable,Rau củ,60,5,10,1,7,1,40,0,Dinner,0
Ham (3oz deli sliced),"Thịt giăm bông (85g, thái lát)",Protein/Meat,Chất đạm/Thịt,110,16,2,4,0,"46,143.00",950,45,Lunch,0
Swiss Cheese (1 slice),Phô mai Thụy Sĩ (1 lát),Dairy,Sản phẩm từ sữa,106,"46,180.00",1,8,0,0.4,54,26,Lunch,0
Rye Bread (1 slice),Bánh mì lúa mạch đen (1 lát),Grain,Ngũ cốc,83,"46,205.00","46,157.00","46,023.00",1.9,"46,054.00",170,0,Lunch,0
Potato Leek Soup (1 cup),Súp Khoai Tây Tỏi Tây (240 ml),Meal/Vegetable,Bữa ăn/Rau củ,180,4,25,7,3,4,650,15,Lunch,250
Brie Cheese (1 oz),Phô mai Brie (28 gram),Dairy,Sản phẩm từ sữa,95,6,0.1,"46,272.00",0,0.1,178,28,Snack,0
Water Cracker (5 crackers),Bánh quy lạt (5 cái),Grain/Processed,Ngũ cốc/Chế biến,70,"46,143.00",12,"46,143.00",0.5,0,150,0,Snack,0
Grapefruit (1/2 medium),Bưởi (1/2 quả cỡ trung bình),Fruit,Trái cây,52,"46,023.00","46,066.00",0.2,2,"46,150.00",0,0,Breakfast,0
Veggie Straws (1 oz),Ống rau củ (28 g),Snack/Processed,Đồ ăn nhẹ/Chế biến,130,1,17,7,1,1,220,0,Snack,0
Fish Tacos (2 tacos),Tacos cá (2 cái),Meal/Fish,Bữa ăn/Cá,420,25,40,18,6,5,700,60,Dinner,500
Cabbage Slaw (side),Salad bắp cải (món ăn kèm),Vegetable,Rau củ,60,1,8,3,2,5,120,5,Dinner,0
Lime (juice of 1),"Nước chanh (từ 1 quả, khoảng 30 mL)",Condiment,Gia vị,11,0.2,"46,206.00",0,0.4,0.7,1,0,Dinner,0
Beer (12 oz light),"Bia (355 ml, loại nhẹ)",Beverage,Đồ uống,103,0.9,"46,239.00",0,0,0.3,10,0,Snack,355
Danish (Cheese 1 medium),"Bánh Đan Mạch (Phô Mai, 1 chiếc cỡ trung bình)",Dessert,Tráng miệng,340,7,38,18,2,16,300,55,Breakfast,250
Kefir (Plain 1 cup),Kefir (Không đường 240ml),Beverage/Dairy,Đồ uống/Sữa,104,10,10,"46,144.00",0,9,100,10,Breakfast,240
Gnocchi (1 cup),Gnocchi (khoảng 240 gram),Meal/Pasta,Bữa ăn/Mì ống,210,"46,146.00",45,"46,143.00",3,2,480,0,Dinner,0
Pesto Sauce (1/4 cup),Sốt Pesto (60g),Condiment,Gia vị,260,5,4,26,2,1,550,5,Dinner,0
Pine Nuts (1 tbsp),Hạt thông (10 g),Nut,Hạt,95,2,2,10,0.5,0.5,0,0,Dinner,0
Chai Latte (12 oz),Chai Latte (355 ml),Beverage,Đồ uống,190,7,32,4,1,30,105,15,Snack,355
Manicotti (2 shells cheese),Mì ống Manicotti (2 vỏ mì nhồi phô mai),Meal/Pasta,Bữa ăn/Mì ống,380,20,35,18,4,7,650,60,Dinner,0
Italian Sausage (1 link),Xúc Xích Tươi Ý (80 g),Protein/Meat,Chất đạm/Thịt,200,12,3,16,0,1,550,50,Dinner,0
Jicama (1 cup sticks),Củ đậu (130 gram dạng thanh),Vegetable,Rau củ,46,0.9,"46,183.00",0.1,5.8,"46,024.00",5,0,Snack,0
Chili Powder (1 tsp),Bột ớt (khoảng 5 ml),Condiment,Gia vị,8,0.3,"46,113.00",0.4,0.9,0.2,10,0,Snack,0
Ants on a Log (4 pcs),Cần tây phết bơ đậu phộng rắc nho khô (4 miếng),Snack,Đồ ăn nhẹ,180,6,12,12,3,7,120,0,Snack,250
Split Pea Soup (1 cup),Súp đậu Hà Lan sấy khô (240 ml),Meal/Legume,Bữa ăn/Đậu,180,11,30,2,10,6,700,5,Lunch,250
Ham & Cheese Croissant,Bánh Croissant Nhân Thịt Nguội & Phô Mai,Meal/Processed,Bữa ăn/Chế biến,400,15,35,22,2,6,750,60,Breakfast,250
Espresso (double shot),Cà phê espresso (hai liều),Beverage,Đồ uống,5,0.5,0,0.1,0,0,1,0,Breakfast,60
Ricotta Cheese (1/4 cup),Phô mai Ricotta (60 ml),Dairy,Sản phẩm từ sữa,85,"46,147.00","46,144.00",6,0,1,50,24,Dinner,0
Chicken & Rice Soup (1 can),Súp Gà và Cơm (1 lon),Meal/Processed,Bữa ăn/Chế biến,130,7,18,3,2,2,850,15,Lunch,250
Salt (1/4 tsp),Muối (1.45 gam),Condiment,Gia vị,0,0,0,0,0,0,580,0,Dinner,0
Guava,Ổi,Fruit,Trái cây,68,"46,175.00","46,095.00",0.9,5.4,"46,273.00",3,0,Snack,0
Club Sandwich,Bánh mì Club,Meal/Processed,Bữa ăn/Chế biến,580,35,40,30,5,7,1300,95,Lunch,500
Pickle (1 whole dill),Dưa chuột muối (một trái dưa muối thì là nguyên vẹn),Vegetable,Rau củ,17,0.8,"46,206.00",0.2,1.5,"46,204.00",1200,0,Snack,0
Turkey Chili (1 cup),Chili Gà Tây (237 mL),Meal/Meat,Bữa ăn/Thịt,250,22,25,7,8,6,750,50,Dinner,250
Sour Cream (2 tbsp),Kem chua (30 ml),Condiment/Dairy,Gia vị/Sữa,60,0.8,"46,082.00","46,239.00",0,0.8,25,12,Dinner,0
Shredded Cheese (Cheddar 1/4 cup),"Phô mai sợi (Cheddar, 60 ml)",Dairy,Sản phẩm từ sữa,115,7,1,"46,151.00",0,0.5,180,30,Dinner,0
Matcha Latte (12 oz),Trà Xanh Matcha Latte (355 ml),Beverage,Đồ uống,180,6,28,5,2,25,90,20,Snack,355
Chocolate Donut (1 medium),Bánh Donut Sô-cô-la (1 cỡ vừa),Dessert,Tráng miệng,300,4,35,17,2,18,230,20,Breakfast,0
Tuna Melt,Bánh mì kẹp cá ngừ phô mai tan chảy,Meal/Processed,Bữa ăn/Chế biến,450,25,32,25,3,4,900,50,Lunch,250
Apple Cider (1 cup),Nước ép Táo Lên men (240 ml),Beverage,Đồ uống,117,0.1,29,0.3,0.5,27,10,0,Snack,240
Beef Burrito (large),Bánh burrito bò (cỡ lớn),Meal/Processed,Bữa ăn/Chế biến,650,30,70,28,10,5,1400,70,Dinner,500
Pico de Gallo (1/4 cup),Pico de Gallo (khoảng 59 ml),Condiment,Gia vị,15,0.5,3,0,1,2,200,0,Dinner,0
Corn Tortilla (1 medium),Bánh ngô Tor-ti-a (1 cái cỡ vừa),Grain,Ngũ cốc,52,"46,113.00","46,064.00",0.7,1.5,0.2,4,0,Dinner,0
Mussels (3oz steamed),Trai vẹm (85g hấp),Protein/Seafood,Chất đạm/Hải sản,146,20,6,4,0,0,310,48,Dinner,0
White Wine Sauce (1/4 cup),Sốt Rượu Vang Trắng (60 ml),Condiment,Gia vị,80,1,4,6,0.5,2,300,5,Dinner,0
French Bread (2 slices),Bánh mì Pháp (2 lát),Grain,Ngũ cốc,180,6,36,1,2,2,380,0,Dinner,0
Blackberries (1 cup),Quả mâm xôi đen (100 gram),Fruit,Trái cây,62,2,"46,247.00",0.7,7.6,"46,269.00",1,0,Snack,0
Cheese Danish,Bánh ngàn lớp nhân phô mai,Dessert,Tráng miệng,340,7,38,18,2,16,300,55,Breakfast,250
Chicken Salad Sandwich,Bánh mì kẹp salad gà,Meal/Processed,Bữa ăn/Chế biến,420,20,35,20,3,5,850,60,Lunch,250
Soyrizo (2 oz),Soyrizo (57 g),Protein/Vegetarian,Chất đạm/Chay,140,10,6,9,3,2,450,0,Breakfast,0
Hash Browns (1 cup),Khoai tây áp chảo (240 ml),Vegetable,Rau củ,330,3,38,19,3,1,550,0,Breakfast,0
Ketchup (1 packet),Sốt cà chua (1 gói),Condiment,Gia vị,10,0.1,"46,144.00",0,0.1,2,90,0,Breakfast,0
Philly Cheesesteak (6 inch),Bánh mì kẹp bò phô mai kiểu Philly (15 cm),Meal/Processed,Bữa ăn/Chế biến,500,25,40,28,3,5,1100,70,Lunch,500
Cheese Whiz (2 tbsp),Phô mai phết Cheese Whiz (30 ml),Condiment/Processed,Gia vị/Chế biến,90,4,3,7,0,2,540,20,Lunch,0
Onions (sautéed 1/4 cup),Hành tây (áp chảo 60 ml),Vegetable,Rau củ,30,0.5,5,1,1,3,5,0,Lunch,0
Raspberries (1 cup),Quả Mâm Xôi Đỏ (123g),Fruit,Trái cây,64,"46,143.00","46,217.00",0.8,8,"46,117.00",1,0,Snack,0
Cheesy Grits (1 cup),Bột ngô phô mai (240 mililít),Meal/Grain,Bữa ăn/Ngũ cốc,210,6,34,6,2,1,550,20,Breakfast,0
Collard Greens (with ham hock),Cải rổ (kèm giò heo hun khói),Vegetable,Rau củ,180,10,15,9,8,3,600,30,Dinner,0
Fried Okra (1 cup),Đậu bắp chiên (237 ml),Vegetable,Rau củ,220,4,25,12,5,3,450,10,Dinner,0
Sweet Tea (16 oz),Trà ngọt (473 ml),Beverage,Đồ uống,180,0,46,0,0,46,15,0,Lunch,473
Gyro (1 sandwich),Bánh mì kẹp thịt Gyro (1 chiếc),Meal/Meat,Bữa ăn/Thịt,600,25,55,30,5,6,1200,80,Dinner,250
Pita Bread (White 1 large),"Bánh mì Pita (Trắng, 1 chiếc lớn)",Grain,Ngũ cốc,220,7,45,2,2,2,440,0,Dinner,0
Tzatziki Sauce (2 tbsp),Nước sốt Tzatziki (30 ml),Condiment,Gia vị,30,"46,143.00",2,2,0,"46,143.00",100,5,Dinner,0
Baklava (1 piece),Bánh Baklava (1 miếng),Dessert,Tráng miệng,280,3,30,18,2,20,80,10,Snack,0
Coconut (shredded 1/4 cup),"Dừa (nạo, 24 g)",Fruit,Trái cây,110,1,"46,146.00","46,152.00",2,"46,143.00",3,0,Snack,0
S'more (1 serving),Bánh S’more (1 khẩu phần),Dessert,Tráng miệng,140,2,25,4,1,15,90,0,Snack,0
Graham Cracker (1 large rectangle),Bánh quy Graham (1 miếng lớn),Grain/Processed,Ngũ cốc/Chế biến,60,1,11,"46,143.00",0.5,4,70,0,Snack,0
Marshmallow (1 large),Kẹo dẻo xốp (1 cái lớn),Dessert,Tráng miệng,23,0.1,"46,239.00",0,0,4,5,0,Snack,0
Chocolate (Hershey's bar 1 segment),Sô-cô-la (Thanh Hershey's 1 miếng),Dessert,Tráng miệng,25,0.3,3,"46,143.00",0.2,"46,236.00",4,1,Snack,0
Chicken Parm Sandwich,Bánh mì kẹp gà Parm,Meal/Processed,Bữa ăn/Chế biến,650,40,55,30,6,9,1400,100,Lunch,500
Mozzarella (1 slice),"Phô mai Mozzarella (1 lát, khoảng 28g)",Dairy,Sản phẩm từ sữa,80,6,1,6,0,0.5,150,20,Lunch,0
Bread Roll (hoagie),Bánh mì cuộn (hoagie),Grain,Ngũ cốc,200,6,38,2,2,3,400,0,Lunch,0
Artichoke (1 medium steamed),"Atisô (1 củ cỡ trung bình, hấp, khoảng 130g)",Vegetable,Rau củ,60,"46,057.00","46,125.00",0.2,6.9,"46,054.00",112,0,Dinner,0
Mayonnaise (1 tbsp for dipping),Mayonnaise (15 ml dùng để chấm),Condiment,Gia vị,90,0.1,0.1,10,0,0.1,70,5,Dinner,0
Calamari (fried 3oz),Mực chiên giòn (khoảng 85g),Meal/Seafood,Bữa ăn/Hải sản,150,13,8,7,1,1,600,220,Dinner,0
Lemon Wedge (for calamari),Múi chanh (dùng kèm mực chiên giòn),Condiment,Gia vị,3,0.1,1,0,0.3,0.2,0,0,Dinner,0
Root Beer (1 can),Bia gừng/Sarsaparilla (1 lon),Beverage,Đồ uống,150,0,40,0,0,40,55,0,Snack,355
Chicken McNuggets (6 pcs),Gà Viên McNuggets (6 miếng),Meal/Processed,Bữa ăn/Chế biến,270,15,16,16,1,0,500,40,Lunch,0
BBQ Sauce (2 tbsp),Sốt BBQ (30 ml),Condiment,Gia vị,60,0.5,15,0,0.5,12,350,0,Lunch,0
Honey (1 tbsp),Mật ong (15 ml),Condiment,Gia vị,64,0.1,"46,098.00",0,0,"46,070.00",1,0,Breakfast,0
Tofu Scramble,Đậu phụ xào,Meal/Vegetarian,Bữa ăn/Chay,250,20,8,16,4,3,300,0,Breakfast,250
Turmeric (1 tsp),"Nghệ (4,9 ml)",Condiment,Gia vị,9,0.3,"46,266.00",0.1,0.7,0.1,1,0,Breakfast,0
Nutritional Yeast (1 tbsp),Nấm men dinh dưỡng (15 ml),Condiment,Gia vị,20,3,2,0,1,0,10,0,Breakfast,0
Seitan (3oz),Seitan (85 g),Protein/Vegetarian,Chất đạm/Chay,90,18,4,1,1,1,300,0,Dinner,0
Vegetable Broth (1 cup),Nước dùng rau củ (240 mililít),Beverage,Đồ uống,15,1,3,0,1,2,550,0,Dinner,240
Mashed Cauliflower (1 cup),Súp lơ nghiền (240g),Vegetable,Rau củ,140,5,12,8,5,4,400,25,Dinner,0
Peanut Sauce (2 tbsp),Nước sốt đậu phộng (30 ml),Condiment,Gia vị,80,2,4,6,1,3,250,0,Dinner,0
Tempeh (3oz),Tempeh (85g),Protein/Vegetarian,Chất đạm/Chay,160,16,8,9,5,0,10,0,Lunch,0
Sauerkraut (1/2 cup),Dưa cải muối chua (120 ml),Vegetable,Rau củ,14,0.7,"46,025.00",0.1,2,"46,054.00",468,0,Lunch,0
Rye Crispbread (2 slices),Bánh quy giòn lúa mạch đen (2 lát),Grain,Ngũ cốc,70,2,14,0.5,3,0,120,0,Lunch,0
Capers (1 tbsp),Cây bạch hoa (1 muỗng canh),Condiment,Gia vị,2,0.2,0.4,0.1,0.3,0.1,200,0,Dinner,0
Chicken Liver (2 oz cooked),Gan gà (57g đã nấu chín),Protein/Meat,Chất đạm/Thịt,91,"46,186.00",0.6,"46,176.00",0,0,50,320,Dinner,0
Onion (1/2 cup raw chopped),Hành tây (60 gram thái hạt lựu tươi),Vegetable,Rau củ,32,0.9,"46,149.00",0.1,1.4,"46,237.00",3,0,Dinner,0
Bok Choy (1 cup steamed),Cải thìa (170g hấp),Vegetable,Rau củ,10,"46,143.00",2,0.1,1,1,40,0,Dinner,0
Gummy Bears (10 pcs),Kẹo dẻo Gummy (10 viên),Snack/Dessert,Đồ ăn nhẹ/Tráng miệng,100,2,22,0,0,15,10,0,Snack,0
Whiskey (1.5 oz shot),Rượu Whiskey (một li 45 ml),Beverage,Đồ uống,105,0,0.1,0,0,0.1,1,0,Snack,0
Dates (2 medium Medjool),Chà là (2 quả Medjool cỡ trung bình),Fruit,Trái cây,133,0.8,36,0.1,3.2,32,1,0,Snack,0
Tahini (1 tbsp),Bơ hạt mè (15 ml),Condiment,Gia vị,89,"46,175.00","46,056.00",8,1.4,0.1,17,0,Snack,0
Chickpeas (1/2 cup canned),Đậu gà (120 gram đóng hộp),Legume,Đậu,135,7,22,2,6,3,250,0,Lunch,0
Lettuce (Romaine 2 cups),Xà lách Romaine (85g),Vegetable,Rau củ,16,1,3,0.3,2,1,10,0,Lunch,0
Italian Dressing (2 tbsp),Sốt trộn kiểu Ý (30 mL),Condiment,Gia vị,70,0,3,7,0,2,300,0,Lunch,0
Turkey Sausage (1 patty),Xúc xích Gà tây (1 miếng chả),Protein/Meat,Chất đạm/Thịt,70,9,1,4,0,0.5,280,35,Breakfast,0
Maple Syrup (1 tbsp),Xi-rô phong (15 mL),Condiment,Gia vị,52,0,"46,155.00",0,0,12,1,0,Breakfast,0
Margarita (1 drink 4oz),Margarita (1 khẩu phần 120 mL),Beverage,Đồ uống,200,0.1,20,0,0.1,19,5,0,Snack,120
Quesadilla (Cheese 1 medium),"Quesadilla (Phô mai, 1 chiếc cỡ vừa)",Meal/Processed,Bữa ăn/Chế biến,400,18,35,22,3,2,700,50,Lunch,250
Sour Cream (1 tbsp),Kem chua (15 ml),Condiment/Dairy,Gia vị/Sữa,30,0.4,0.6,"46,267.00",0,0.4,12,6,Lunch,0
Salsa (2 tbsp),Sốt Salsa (30 ml),Condiment,Gia vị,10,0.5,2,0,0.5,1,120,0,Lunch,0
Red Cabbage (1 cup raw),Bắp cải tím (89 gam tươi),Vegetable,Rau củ,22,"46,023.00","46,058.00",0.1,1.6,"46,236.00",8,0,Dinner,0
Duck (3oz roasted),Thịt vịt (85g rang),Protein/Meat,Chất đạm/Thịt,285,16,0,24,0,0,65,72,Dinner,0
Orange Sauce (1/4 cup for duck),Sốt cam (60 ml cho vịt),Condiment,Gia vị,90,0.5,22,0,0.5,20,200,0,Dinner,0
Wild Rice (1 cup cooked),Hạt lúa mạch đen (240 ml sau khi nấu),Grain,Ngũ cốc,166,"46,148.00",35,0.6,3,"46,054.00",5,0,Dinner,0
Cupcake (Vanilla 1 medium),"Bánh Cupcake (Vị Vani, 1 khẩu phần vừa)",Dessert,Tráng miệng,240,2,35,11,1,25,200,30,Snack,0
Frosting (Vanilla 2 tbsp),"Kem phủ (Vị vani, 30 ml)",Condiment,Gia vị,140,0,22,6,0,22,65,0,Snack,0
Hot Sauce (1 tsp Tabasco),Tương ớt (5 mL Tabasco),Condiment,Gia vị,0,0,0,0,0,0,35,0,Breakfast,0
Bison Burger (1 patty),Bánh kẹp thịt bò rừng Bison (1 miếng),Protein/Meat,Chất đạm/Thịt,150,22,0,7,0,0,65,70,Lunch,250
Pretzel Bun (1 medium),Bánh mì kẹp Pretzel (1 cỡ vừa),Grain,Ngũ cốc,230,8,45,2,2,4,550,0,Lunch,0
Spicy Mustard (1 tbsp),Mù tạt Cay (15 ml),Condiment,Gia vị,10,0.5,1,0.5,0.5,0,120,0,Lunch,0
Pasta Salad (1 cup),Salad mì ống (240 ml),Meal/Pasta,Bữa ăn/Mì ống,280,8,30,14,4,5,450,10,Lunch,0
Salami (3 slices),Thịt Salami (3 lát),Protein/Processed,Chất đạm/Chế biến,110,6,1,9,0,0.5,500,30,Lunch,0
Pepperoncini (2 peppers),Ớt Pepperoncini (2 quả),Vegetable,Rau củ,10,0.5,2,0,1,1,350,0,Lunch,0
Coconut Milk (1/4 cup canned),Nước cốt dừa (59 ml đóng hộp),Condiment,Gia vị,111,"46,023.00","46,267.00","46,184.00",0.5,"46,143.00",8,0,Dinner,0
Green Curry Paste (1 tbsp),Sốt Cà ri Xanh (15 g),Condiment,Gia vị,30,0.5,2,"46,144.00",1,1,400,0,Dinner,0
Chicken Thigh (1 roasted),Đùi Gà (1 cái nướng),Protein/Meat,Chất đạm/Thịt,210,24,0,13,0,0,90,120,Dinner,0
Jasmine Rice (1 cup cooked),Cơm Gạo Lài (160 gram đã nấu),Grain,Ngũ cốc,205,"46,085.00",45,0.4,0.6,0,2,0,Dinner,0
Thai Iced Tea (1 glass),Trà đá Thái Lan (1 ly),Beverage,Đồ uống,250,3,35,12,0,33,50,35,Snack,300
Papaya (1 cup cubes),Đu đủ (140g khối lập phương),Fruit,Trái cây,62,0.6,"46,218.00",0.4,2.5,11,12,0,Snack,0
Lime Juice (1 tbsp),Nước cốt chanh (15 ml),Condiment,Gia vị,4,0.1,"46,082.00",0,0.1,0.2,0,0,Snack,0
Macaroni Salad (1 cup),Gỏi Mì Ống (240 ml),Meal/Pasta,Bữa ăn/Mì ống,380,8,30,25,3,6,750,20,Lunch,0
Celery (1 stalk),Cần tây (1 thân),Vegetable,Rau củ,6,0.3,"46,054.00",0.1,0.6,0.5,32,0,Lunch,0
Blue Cheese (1 oz),"Phô mai xanh (28,35 g)",Dairy,Sản phẩm từ sữa,100,6,0.7,8,0,0.1,325,21,Snack,0
Dark Chocolate (1 oz 70%),Sô cô la Đen (28g 70%),Dessert,Tráng miệng,170,"46,055.00",13,12,3,7,5,0,Snack,0
Acai Bowl (1 serving),Bát Acai (1 khẩu phần),Meal/Fruit,Bữa ăn/Trái cây,350,5,60,12,10,30,40,0,Breakfast,250
Granola (1/4 cup topping),Ngũ cốc Granola (60 mililit lát phủ),Grain,Ngũ cốc,120,3,15,6,3,7,20,0,Breakfast,0
Coconut Flakes (1 tbsp topping),Vảy Dừa (7 g dùng để rắc),Fruit,Trái cây,35,0.3,"46,143.00","46,084.00",0.7,0.5,1,0,Breakfast,0
Honey (1 tsp drizzle),Mật ong (rắc 5 ml),Condiment,Gia vị,21,0,"46,239.00",0,0,"46,239.00",0,0,Breakfast,0
Shrimp Cocktail (4 large shrimp),Cocktail Tôm (4 con tôm lớn),Protein/Seafood,Chất đạm/Hải sản,60,10,1,1,0,0.5,300,110,Snack,0
Cocktail Sauce (2 tbsp),Sốt Cocktail (30 ml),Condiment,Gia vị,30,0.5,7,0,0.5,5,450,0,Snack,0
Pork Bun (1 steamed),Bánh bao nhân thịt heo (1 cái hấp),Meal/Processed,Bữa ăn/Chế biến,220,8,30,8,2,6,400,20,Lunch,0
Dim Sum (Siu Mai 3 pcs),Dim Sum (Xíu Mại 3 cái),Meal/Processed,Bữa ăn/Chế biến,180,12,10,10,2,1,550,60,Lunch,0
Soy Sauce (1 tbsp for dipping),Nước tương (15 ml dùng để chấm),Condiment,Gia vị,9,1,1,0,0.1,0.4,920,0,Lunch,0
Oyster (1 medium raw),"Hàu (1 con cỡ vừa, tươi sống)",Protein/Seafood,Chất đạm/Hải sản,8,1,0.5,0.2,0,0,50,10,Dinner,0
Mignonette Sauce (1 tbsp),Sốt Mignonette (1 muỗng canh - khoảng 15 ml),Condiment,Gia vị,5,0,1,0,0,0.5,30,0,Dinner,0
Beef Pho (1 large bowl),Phở Bò (1 tô lớn),Meal/Soup,Bữa ăn/Súp,450,30,55,12,4,5,1500,60,Dinner,500
Bean Sprouts (1/4 cup garnish),"Mầm đậu nành (28,35g trang trí)",Vegetable,Rau củ,8,0.8,"46,143.00",0.1,0.4,1,1,0,Dinner,0
