recipe_code,name_en,step_order,instruction_en,instruction_vi
wontons,Wontons,5,"Fold skin over to form a triangle, sealing edges.","Gấp mép vỏ lại thành hình tam giác, ấn chặt các cạnh."
wontons,Wontons,6,Pinch the two long outside points together.,Bấm hai góc ngoài dài lại với nhau.
wontons,Wontons,7,Heat oil to 450 degrees and fry 4 to 5 at a time until golden.,Đun nóng dầu đến 450 độ và chiên mỗi lần 4 đến 5 cái cho đến khi vàng.
wontons,Wontons,8,Drain and serve with sauce.,Chắt nước và dùng với nước sốt.
bbq-pork-sloppy-joes,BBQ Pork Sloppy Joes,1,"Preheat oven to 450 degrees. Wash and dry all produce. Cut sweet potatoes into ½-inch-thick wedges. Toss on a baking sheet with a drizzle of oil, salt, and pepper. Roast until browned and tender, 20-25 minutes.","Làm nóng lò nướng đến 450 độ. Rửa sạch và lau khô tất cả các nguyên liệu. Cắt khoai lang thành các miếng múi dày ½ inch. Trộn đều trên khay nướng với một chút dầu, muối và tiêu. Nướng cho đến khi vàng và mềm, 20–25 phút."
bbq-pork-sloppy-joes,BBQ Pork Sloppy Joes,2,"Meanwhile, halve and peel onion. Slice as thinly as possible until you have ¼ cup (½ cup for 4 servings); finely chop remaining onion. Peel and finely chop garlic. Halve lime; squeeze juice into a small bowl. Halve buns. Add 1 TBSP butter (2 TBSP for 4) to a separate small microwave-safe bowl; microwave until melted, 30 seconds. Brush onto cut sides of buns.","Trong lúc đó, bổ đôi và bóc vỏ hành tây. Cắt lát mỏng nhất có thể để được ¼ chén (½ chén cho 4 phần ăn); băm nhỏ phần hành tây còn lại. Bóc vỏ và băm nhỏ tỏi. Bổ đôi chanh; vắt lấy nước cốt vào bát nhỏ. Bổ đôi bánh mì. Cho 1 muỗng canh bơ (2 muỗng canh cho 4 phần ăn) vào bát nhỏ riêng dùng được cho lò vi sóng; quay cho bơ tan chảy, 30 giây. Phết bơ lên mặt cắt của bánh mì."
bbq-pork-sloppy-joes,BBQ Pork Sloppy Joes,3,"To bowl with lime juice, add sliced onion, ¼ tsp sugar (½ tsp for 4 servings), and a pinch of salt. Stir to combine; set aside to quick-pickle.","Cho hành tây cắt lát, ¼ muỗng cà phê đường (½ muỗng cà phê nếu làm 4 phần ăn) và một nhúm muối vào tô nước cốt chanh. Khuấy đều; để riêng cho hành ngâm chua nhanh."
bbq-pork-sloppy-joes,BBQ Pork Sloppy Joes,4,"Heat a drizzle of oil in a large pan over medium-high heat. Add chopped onion and season with salt and pepper. Cook, stirring, until softened, 4-5 minutes. Add garlic and cook until fragrant, 30 seconds more. Add pork and season with salt and pepper. Cook, breaking up meat into pieces, until browned and cooked through, 4-6 minutes.","Đun nóng một chút dầu ăn trong chảo lớn trên lửa vừa cao. Cho hành tây đã thái hạt lựu vào và nêm muối, tiêu. Đảo đều cho đến khi hành mềm, khoảng 4-5 phút. Thêm tỏi vào và nấu cho đến khi dậy mùi thơm, thêm 30 giây nữa. Cho thịt heo vào và nêm muối, tiêu. Nấu, vừa dằm thịt thành miếng vừa đảo, cho đến khi thịt xém vàng và chín hẳn, khoảng 4-6 phút."
bbq-pork-sloppy-joes,BBQ Pork Sloppy Joes,5,"While pork cooks, in a third small bowl, combine BBQ sauce, pickling liquid from onion, 3 TBSP ketchup (6 TBSP for 4 servings), ½ tsp sugar (1 tsp for 4), and ¼ cup water (⅓ cup for 4). Once pork is cooked through, add BBQ sauce mixture to pan. Cook, stirring, until sauce is thickened, 2-3 minutes. Taste and season with salt and pepper.","Trong khi thịt heo đang nấu, trong một chén nhỏ thứ ba, trộn sốt BBQ, nước ngâm hành tây, 3 muỗng canh sốt cà chua (6 muỗng canh cho 4 phần ăn), ½ muỗng cà phê đường (1 muỗng cà phê cho 4), và ¼ chén nước (⅓ chén cho 4). Khi thịt heo đã chín, thêm hỗn hợp sốt BBQ vào chảo. Nấu, khuấy đều, cho đến khi sốt sánh lại, khoảng 2-3 phút. Nêm nếm và thêm muối và tiêu."
bbq-pork-sloppy-joes,BBQ Pork Sloppy Joes,6,"Meanwhile, toast buns in oven or toaster oven until golden, 3-5 minutes. Divide toasted buns between plates and fill with as much BBQ pork as you’d like. Top with pickled onion and hot sauce. Serve with sweet potato wedges on the side.","Trong lúc đó, nướng bánh mì trong lò nướng hoặc lò nướng bánh mì cho đến khi vàng, khoảng 3-5 phút. Chia bánh mì đã nướng ra đĩa và cho nhân thịt heo BBQ tùy thích vào. Thêm hành tây ngâm chua và tương ớt lên trên. Dùng kèm khoai lang chiên ở bên cạnh."
creamy-tomato-soup,Creamy Tomato Soup,1,"Put the oil, onions, celery, carrots, potatoes and bay leaves in a big casserole dish, or two saucepans. Fry gently until the onions are softened – about 10-15 mins. Fill the kettle and boil it.","Cho dầu ăn, hành tây, cần tây, cà rốt, khoai tây và lá nguyệt quế vào nồi hầm lớn, hoặc hai cái nồi. Chiên nhẹ cho đến khi hành tây mềm – khoảng 10-15 phút. Đổ nước vào ấm và đun sôi."
creamy-tomato-soup,Creamy Tomato Soup,2,"Stir in the tomato purée, sugar, vinegar, chopped tomatoes and passata, then crumble in the stock cubes. Add 1 litre boiling water and bring to a simmer. Cover and simmer for 15 mins until the potato is tender, then remove the bay leaves. Purée with a stick blender (or ladle into a blender in batches) until very smooth. Season to taste and add a pinch more sugar if it needs it. The soup can now be cooled and chilled for up to 2 days, or frozen for up to 3 months.","Khuấy cà chua nghiền, đường, giấm, cà chua cắt nhỏ và passata vào, sau đó bóp vụn viên súp cô đặc vào. Thêm 1 lít nước sôi và đun cho sôi liu riu. Đậy nắp và đun nhỏ lửa trong 15 phút cho đến khi khoai tây mềm, sau đó vớt lá nguyệt quế ra. Xay nhuyễn bằng máy xay cầm tay (hoặc múc vào máy xay sinh tố theo mẻ) cho đến khi rất mịn. Nêm nếm và thêm một chút đường nếu cần. Món súp này có thể để nguội và làm lạnh tối đa 2 ngày, hoặc đông lạnh tối đa 3 tháng."
creamy-tomato-soup,Creamy Tomato Soup,3,"To serve, reheat the soup, stirring in the milk – try not to let it boil. Serve in small bowls with cheesy sausage rolls.","Khi dùng, hâm nóng lại súp, khuấy đều sữa vào – cố gắng đừng để sôi. Múc súp ra bát nhỏ, ăn kèm với cuộn xúc xích phô mai."
air-fryer-egg-rolls,Air Fryer Egg Rolls,1,"Alternative Pan Fry Method: If you don’t have access to an air fryer, you can make these egg rolls using a traditional pan fry method. Add enough oil to a medium skillet with high walls so the oil is about 1/2 inch up the side of the skillet. Heat oil on medium high heat until it reaches 350°F. Add egg rolls and fry for 3 to 4 minutes, flip, and fry for another 3 to 4 minutes until golden brown. Remove and let them drain and cool on a few paper towels.","Phương pháp chiên chảo thay thế: Nếu bạn không có nồi chiên không dầu, bạn có thể làm món chả giò này bằng phương pháp chiên chảo truyền thống. Cho đủ dầu vào chảo vừa có thành cao sao cho dầu cao khoảng 1/2 inch so với thành chảo. Đun nóng dầu ở lửa vừa cao cho đến khi đạt 350°F. Cho chả giò vào chiên trong 3 đến 4 phút, lật mặt và chiên thêm 3 đến 4 phút nữa cho đến khi có màu vàng nâu. Lấy ra và để ráo dầu và nguội trên vài tờ khăn giấy."
air-fryer-egg-rolls,Air Fryer Egg Rolls,2,Cook the filling:,Nấu phần nhân:
air-fryer-egg-rolls,Air Fryer Egg Rolls,3,"In a large skillet over medium heat, add the olive oil along with the ground pork or chicken. Break apart the meat with a spatula or wooden spoon as it cooks. Cook until the meat is cooked through, 6 to 8 minutes.","Trong chảo lớn trên lửa vừa, cho dầu ô liu cùng với thịt lợn hoặc thịt gà xay vào. Dùng xẻng hoặc muỗng gỗ để xé nhỏ thịt khi nấu. Nấu cho đến khi thịt chín hẳn, khoảng 6 đến 8 phút."
air-fryer-egg-rolls,Air Fryer Egg Rolls,4,"Add garlic, ginger, carrot, scallions, and cabbage. Continue to cook until cabbage wilts down and is soft, another 3 to 4 minutes, stirring regularly. Season the filling with soy sauce and rice wine vinegar, and take off the heat to cool. (This filling can be made in advance.)","Thêm tỏi, gừng, cà rốt, hành lá, và bắp cải. Tiếp tục xào cho đến khi bắp cải xẹp xuống và mềm, khoảng 3 đến 4 phút nữa, khuấy đều thường xuyên. Nêm nhân với nước tương và giấm gạo, rồi nhấc ra khỏi bếp để nguội. (Phần nhân này có thể làm trước.)"
air-fryer-egg-rolls,Air Fryer Egg Rolls,5,Assemble the egg rolls:,Cuốn chả giò:
air-fryer-egg-rolls,Air Fryer Egg Rolls,6,Place a single egg roll wrapper on a dry surface with one point of the square facing you (like a diamond). Place about 1/4 cup of the egg roll filling mixture in the middle of the wrapper.,Đặt một chiếc bánh đa nem/vỏ chả giò lên mặt phẳng khô sao cho một góc hình vuông hướng về phía bạn (giống hình kim cương). Đặt khoảng 1/4 cốc hỗn hợp nhân chả giò vào giữa bánh.
air-fryer-egg-rolls,Air Fryer Egg Rolls,7,Dip your fingers in water and run around the edges of the wrapper. Then fold the edges of the wrapper over the center and start rolling the egg roll away from you to form a tight cylinder. Place on a plate and repeat until you are out of filling. You should get at least a dozen egg rolls.,Nhúng ngón tay vào nước và miết quanh các mép bánh tráng. Sau đó gấp các mép bánh tráng lên giữa và bắt đầu cuộn chả giò ra xa bạn để tạo thành một hình trụ chặt. Đặt lên đĩa và lặp lại cho đến khi hết nhân. Bạn sẽ làm được ít nhất một tá chả giò.
air-fryer-egg-rolls,Air Fryer Egg Rolls,8,Air fry the egg rolls:,Chiên chả giò bằng nồi chiên không dầu:
air-fryer-egg-rolls,Air Fryer Egg Rolls,9,"Place the egg rolls in the basket of your air fryer. Spray or brush them lightly with oil. Add as many as you can without stacking the egg rolls, making sure they don’t touch. Air needs to circulate around them. Brush the egg rolls lightly with oil.","Đặt chả giò vào giỏ nồi chiên không dầu. Phun hoặc quét nhẹ dầu ăn lên. Cho vào càng nhiều càng tốt mà không chồng chả giò lên nhau, đảm bảo chúng không chạm vào nhau. Không khí cần lưu thông xung quanh chúng. Quét nhẹ dầu ăn lên chả giò."
air-fryer-egg-rolls,Air Fryer Egg Rolls,10,"Place the basket in the air fryer and turn the air fryer to 350°F. Cook for 6 to 7 minutes, then flip the egg rolls, spray or brush with oil a second time on the bottom side, and cook for another 4 to 5 minutes.","Đặt giỏ vào nồi chiên không dầu và bật nhiệt độ lên 350°F. Chiên khoảng 6 đến 7 phút, sau đó lật chả giò, xịt hoặc quét dầu lần thứ hai lên mặt dưới, và chiên thêm 4 đến 5 phút nữa."
air-fryer-egg-rolls,Air Fryer Egg Rolls,11,Finished egg rolls should be golden brown and crispy! Serve immediately.,Chả giò thành phẩm phải có màu vàng nâu và giòn! Dùng ngay khi còn nóng.
barbecue-pork-buns,Barbecue pork buns,1,"Heat the oven to 200C/fan 180C/gas. Mix the sugar into the bread mix in a large bowl, then add water as instructed on the pack. Bring the dough together with a wooden spoon, then knead on a lightly floured surface for 5 mins until smooth. Put into a large bowl, cover with oiled cling film then leave in a warm place until doubled in size.","Làm nóng lò nướng đến 200C/quạt 180C/gas. Trộn đường vào hỗn hợp bột làm bánh mì trong tô lớn, sau đó thêm nước theo hướng dẫn trên bao bì. Dùng muỗng gỗ trộn bột lại với nhau, sau đó nhào trên mặt phẳng có rắc bột nhẹ khoảng 5 phút cho đến khi bột mịn. Cho bột vào tô lớn, bọc kín bằng màng bọc thực phẩm đã phết dầu, sau đó để ở nơi ấm áp cho đến khi bột nở gấp đôi."
barbecue-pork-buns,Barbecue pork buns,2,"Meanwhile, heat the oil in a pan, then fry the bacon until crisp, about 5 mins. Add the ginger and garlic and fry for 1 min until soft, then tip in the soy, honey and tomato purée and stir well. Can be made up to 3 days ahead.","Trong lúc đó, đun nóng dầu trong chảo, sau đó chiên thịt xông khói cho đến khi giòn, khoảng 5 phút. Thêm gừng và tỏi vào và chiên trong 1 phút cho đến khi mềm, sau đó đổ xì dầu, mật ong và sốt cà chua cô đặc vào và khuấy đều. Có thể làm trước tối đa 3 ngày."
barbecue-pork-buns,Barbecue pork buns,3,"Turn out the dough and knead briefly, then pull into 12 even-sized balls. Flatten with your hands, then put a teaspoon-size blob of the filling in the middle. Draw the dough up and pinch it closed like a purse, then turn the bun over and sit it on a large baking sheet. Cover with oiled cling film and leave to rise for about 30 mins until the dough feels pillowy. Brush with egg and bake for 20 mins until golden. Serve warm with dipping sauce. Can be frozen after second rise for up to 1 month or baked up to a day ahead and re-warmed.","Đổ bột ra và nhào sơ, sau đó chia thành 12 viên bột tròn đều nhau. Dùng tay làm dẹt, sau đó đặt một thìa cà phê nhân vào giữa. Túm bột lại và nhúm kín như một cái túi, sau đó lật mặt bánh lại và đặt lên khay nướng lớn. Đậy bằng màng bọc thực phẩm đã phết dầu và để bột nở khoảng 30 phút cho đến khi bột phồng mềm. Phết trứng và nướng trong 20 phút cho đến khi vàng. Dùng nóng với nước chấm. Có thể đông lạnh sau lần ủ thứ hai tối đa 1 tháng hoặc nướng trước một ngày rồi hâm nóng lại."
beef-mandi,Beef Mandi,1,1. Wash the beef and cut into large pieces. Season lightly with salt and turmeric.,1.  Rửa thịt bò và cắt miếng lớn. Ướp sơ với muối và bột nghệ.
beef-mandi,Beef Mandi,2,Heat ghee/oil in a large pot. Add sliced onions and sauté until light golden.,Đun nóng dầu ăn/bơ ghee trong nồi lớn. Cho hành tây thái lát vào xào cho đến khi hành chuyển sang màu vàng nhạt.
beef-mandi,Beef Mandi,3,"Add garlic, green chilies, and tomato; cook until softened.","Thêm tỏi, ớt xanh và cà chua; nấu cho mềm."
beef-mandi,Beef Mandi,4,"Add the mandi spice mix: coriander, cumin, black pepper, cinnamon, cardamom, cloves, and bay leaves.","Thêm hỗn hợp gia vị Mandi: ngò rí, thì là, tiêu đen, quế, bạch đậu khấu, đinh hương, và lá nguyệt quế."
beef-mandi,Beef Mandi,5,Add beef pieces and stir on medium heat until the meat is well coated with spices.,"Cho thịt bò vào, đảo đều trên lửa vừa cho đến khi thịt ngấm đều gia vị."
beef-mandi,Beef Mandi,6,Pour in water or beef stock. Cover and simmer until beef is tender (about 1.5–2 hours depending on cut).,"Đổ nước hoặc nước dùng bò vào. Đậy nắp và hầm cho đến khi thịt bò mềm (khoảng 1,5–2 giờ tùy thuộc vào miếng thịt)."
beef-mandi,Beef Mandi,7,Remove beef carefully and set aside. Strain and measure the broth.,Cẩn thận lấy thịt bò ra và để riêng. Lọc và đong nước dùng.
beef-mandi,Beef Mandi,8,"Add washed, soaked basmati rice to the broth (usually 1 cup rice = 1.5–2 cups liquid). Adjust seasoning and bring to a boil.","Cho gạo basmati đã vo sạch, ngâm nở vào nước dùng (thường 1 chén gạo = 1,5–2 chén nước). Nêm nếm lại gia vị và đun sôi."
beef-mandi,Beef Mandi,9,"Lower heat, cover, and cook the rice until fluffy.","Giảm lửa, đậy nắp và nấu cơm cho đến khi chín mềm."
beef-mandi,Beef Mandi,10,Place the beef pieces over the rice and steam on low heat for 10 minutes so flavors combine.,Đặt thịt bò lên trên cơm và hấp lửa nhỏ trong 10 phút để các hương vị hòa quyện.
beef-mandi,Beef Mandi,11,"Optional: For smoky flavor, place a small hot charcoal on foil in the pot, add 1 tsp butter/oil, immediately cover for 5 minutes. Remove coal before serving.","Tùy chọn: Để có hương vị khói, đặt một viên than nóng nhỏ lên giấy bạc trong nồi, thêm 1 thìa cà phê bơ/dầu, đậy nắp ngay lập tức trong 5 phút. Lấy than ra trước khi dùng."
beef-mandi,Beef Mandi,12,Fluff rice and serve beef mandi with salad or chutney.,Xới cơm và dùng bò mandi với salad hoặc tương ớt/chấm.
piernik-polish-gingerbread,Piernik (Polish gingerbread),1,"Heat oven to 160C/140C fan/gas 3. Grease and line the base and sides of a deep 20cm cake tin with baking parchment. Put the honey, sugar and butter in a medium saucepan and cook over a medium heat until fully melted. Remove from the heat and allow to cool. Put the flour and spices in a large bowl and mix everything together.","Bật lò nướng ở 160C/140C quạt/gas 3. Phết bơ và lót giấy nến dưới đáy và thành khuôn bánh sâu 20cm. Cho mật ong, đường và bơ vào nồi cỡ vừa, nấu trên lửa vừa cho đến khi tan chảy hoàn toàn. Nhấc ra khỏi bếp và để nguội. Cho bột mì và các loại gia vị vào tô lớn và trộn đều."
piernik-polish-gingerbread,Piernik (Polish gingerbread),2,"Once the liquid ingredients have cooled, whisk in the eggs. Pour over the dry ingredients, whisking them together to form a smooth batter – be careful not to overmix as this can lead to a dry cake. Pour into the prepared tin and bake for 50-55 mins or until risen and a skewer inserted into the middle of the cake comes out clean. Allow the cake to cool in the pan for 20 mins before turning out onto a wire rack to cool completely.","Khi các nguyên liệu lỏng đã nguội, đánh trứng vào. Đổ hỗn hợp này lên các nguyên liệu khô, đánh đều để tạo thành hỗn hợp bột mịn – cẩn thận đừng đánh quá lâu vì có thể làm bánh bị khô. Đổ vào khuôn đã chuẩn bị và nướng trong 50-55 phút hoặc cho đến khi bánh nổi lên và que xiên cắm vào giữa bánh rút ra sạch. Để bánh nguội trong khuôn 20 phút trước khi lấy ra rack để nguội hoàn toàn."
piernik-polish-gingerbread,Piernik (Polish gingerbread),3,"Once cooled, use a large serrated knife to slice the cake into 3 layers. Spread the jam across the 2 bottom cake layers, then reassemble the cake and set aside while you make the glaze. Put the cream, chocolate and honey in a medium pan and cook over a low-medium heat until the chocolate is melted and you have a smooth, pourable mixture. Put the cake on a wire rack set over a parchment-lined baking tray and pour over the glaze, making sure to cover the entire cake. Use a fish slice to carefully transfer the cake to a serving plate and allow the glaze to set. To decorate, dust with a little edible gold powder, if you like. Uniced, this cake will keep for up to 5 days. Once iced, enjoy within 3 days – just keep in the fridge, but remove before serving and eat at room temperature.","Sau khi nguội, dùng dao răng cưa lớn để cắt bánh thành 3 lớp. Phết mứt lên 2 lớp bánh dưới cùng, sau đó xếp bánh lại và để riêng trong khi làm lớp kem phủ. Cho kem, sô cô la và mật ong vào nồi cỡ vừa và nấu trên lửa nhỏ đến vừa cho đến khi sô cô la tan chảy và bạn có một hỗn hợp mịn, có thể đổ được. Đặt bánh lên giá dây được đặt trên khay nướng lót giấy nến và đổ kem phủ lên, đảm bảo phủ kín toàn bộ bánh. Dùng xẻng lật cá để cẩn thận chuyển bánh sang đĩa phục vụ và để kem phủ đông lại. Để trang trí, rắc một chút bột vàng ăn được, nếu bạn thích. Bánh không phủ kem có thể giữ được tối đa 5 ngày. Khi đã phủ kem, thưởng thức trong vòng 3 ngày – chỉ cần giữ trong tủ lạnh, nhưng lấy ra trước khi phục vụ và ăn ở nhiệt độ phòng."
apple-frangipan-tart,Apple Frangipan Tart,1,Preheat the oven to 200C/180C Fan/Gas 6.,Làm nóng lò nướng ở 200°C/180°C quạt/Gas 6.
apple-frangipan-tart,Apple Frangipan Tart,2,"Put the biscuits in a large re-sealable freezer bag and bash with a rolling pin into fine crumbs. Melt the butter in a small pan, then add the biscuit crumbs and stir until coated with butter. Tip into the tart tin and, using the back of a spoon, press over the base and sides of the tin to give an even layer. Chill in the fridge while you make the filling.","Cho bánh quy vào túi đông lạnh lớn có khóa zip và dùng cây cán bột cán vụn thành bột mịn. Đun chảy bơ trong nồi nhỏ, sau đó cho vụn bánh quy vào và khuấy đều cho bơ phủ đều. Đổ vào khuôn tart, dùng mặt sau của muỗng nén đều xuống đáy và thành khuôn để tạo thành một lớp đồng nhất. Cho vào tủ lạnh để làm lạnh trong khi chuẩn bị nhân bánh."
apple-frangipan-tart,Apple Frangipan Tart,3,"Cream together the butter and sugar until light and fluffy. You can do this in a food processor if you have one. Process for 2-3 minutes. Mix in the eggs, then add the ground almonds and almond extract and blend until well combined.","Đánh bông bơ và đường cho đến khi hỗn hợp nhẹ và mịn. Bạn có thể làm việc này bằng máy xay thực phẩm nếu có. Xay (hoặc đánh) trong 2-3 phút. Trộn trứng vào, sau đó cho bột hạnh nhân và tinh dầu hạnh nhân vào và trộn đều."
apple-frangipan-tart,Apple Frangipan Tart,4,"Peel the apples, and cut thin slices of apple. Do this at the last minute to prevent the apple going brown. Arrange the slices over the biscuit base. Spread the frangipane filling evenly on top. Level the surface and sprinkle with the flaked almonds.","Gọt vỏ táo, rồi thái lát mỏng. Làm điều này vào phút cuối để tránh táo bị thâm. Xếp các lát táo lên đế bánh quy. Phết đều nhân frangipane lên trên. San phẳng bề mặt và rắc hạnh nhân lát mỏng lên."
apple-frangipan-tart,Apple Frangipan Tart,5,Bake for 20-25 minutes until golden-brown and set.,Nướng trong 20-25 phút cho đến khi vàng nâu và đông lại.
apple-frangipan-tart,Apple Frangipan Tart,6,Remove from the oven and leave to cool for 15 minutes. Remove the sides of the tin. An easy way to do this is to stand the tin on a can of beans and push down gently on the edges of the tin.,Lấy ra khỏi lò và để nguội trong 15 phút. Tháo thành khuôn. Một cách dễ dàng để làm điều này là đặt khuôn lên một lon đậu và nhẹ nhàng ấn xuống các cạnh của khuôn.
apple-frangipan-tart,Apple Frangipan Tart,7,"Transfer the tart, with the tin base attached, to a serving plate. Serve warm with cream, crème fraiche or ice cream.","Chuyển bánh tart, kèm đế khuôn, sang đĩa phục vụ. Dùng khi còn ấm với kem tươi, kem crème fraiche hoặc kem lạnh."
sweet-and-sour-chicken,Sweet and Sour Chicken,1,Coat the chicken with egg white:,Áo gà với lòng trắng trứng:
sweet-and-sour-chicken,Sweet and Sour Chicken,2,"In a bowl, combine the chicken with the egg white, 1/2 teaspoon kosher salt, and cornstarch. Stir to coat the chicken evenly. Let sit for 15 minutes at room temperature or up to overnight in the refrigerator.","Cho thịt gà, lòng trắng trứng, 1/2 thìa cà phê muối kosher, và bột bắp vào tô. Trộn đều cho gà ngấm gia vị. Để yên 15 phút ở nhiệt độ phòng hoặc để qua đêm trong tủ lạnh."
sweet-and-sour-chicken,Sweet and Sour Chicken,3,Make the sweet and sour sauce:,Làm nước sốt chua ngọt:
sweet-and-sour-chicken,Sweet and Sour Chicken,4,"Whisk together the pineapple juice, vinegar, ketchup, 1/2 teaspoon kosher salt, and brown sugar.","Đánh bông nước ép dứa, giấm, tương cà, 1/2 thìa cà phê muối kosher, và đường nâu với nhau."
sweet-and-sour-chicken,Sweet and Sour Chicken,5,Stir-fry the chicken over high heat:,Xào gà với lửa lớn:
sweet-and-sour-chicken,Sweet and Sour Chicken,6,Heat a large frying pan or wok over high heat until a bead of water instantly sizzles and evaporates. Pour in 1 tablespoon of cooking oil and swirl to coat. It's important that the pan is very hot.,"Bật lửa lớn, đun nóng chảo lớn hoặc chảo sâu lòng đến khi một giọt nước rơi vào lập tức xèo và bốc hơi hết. Đổ vào 1 muỗng canh dầu ăn rồi tráng đều. Điều quan trọng là chảo phải thật nóng."
sweet-and-sour-chicken,Sweet and Sour Chicken,7,"Add the chicken and spread the pieces out in one layer. Let the chicken fry untouched for 1 minute, until the bottoms are browned.","Cho gà vào, dàn đều một lớp. Chiên gà không lật trong 1 phút, cho đến khi đáy có màu nâu vàng."
sweet-and-sour-chicken,Sweet and Sour Chicken,8,"Flip and fry the other side for 1 minute. The chicken should still be pinkish in the middle. Dish out the chicken onto a clean plate, leaving as much oil in the pan as possible.","Lật mặt còn lại chiên thêm 1 phút. Thịt gà bên trong vẫn còn màu hồng nhạt. Gắp gà ra đĩa sạch, cố gắng để lại càng nhiều dầu trong chảo càng tốt."
sweet-and-sour-chicken,Sweet and Sour Chicken,9,Stir-fry the bell pepper and ginger:,Xào ớt chuông và gừng:
sweet-and-sour-chicken,Sweet and Sour Chicken,10,Reduce the heat to medium and add the remaining 1 teaspoon of cooking oil. Let the oil heat up before adding the bell pepper chunks and ginger. Fry for 1 minute.,"Giảm lửa xuống mức vừa, cho 1 thìa cà phê dầu ăn còn lại vào. Đợi dầu nóng rồi cho ớt chuông cắt miếng và gừng vào. Xào trong 1 phút."
sweet-and-sour-chicken,Sweet and Sour Chicken,11,"Add the pineapple, sauce, and then, the chicken:","Cho thơm, nước sốt, và sau đó, cho gà vào:"
sweet-and-sour-chicken,Sweet and Sour Chicken,12,"Add the pineapple chunks and the sweet and sour sauce. Turn up the heat to high. When the sauce is simmering, add the chicken pieces back in.","Cho dứa thái miếng và nước sốt chua ngọt vào. Vặn lửa lớn. Khi sốt sôi lăn tăn, cho thịt gà trở lại vào."
sweet-and-sour-chicken,Sweet and Sour Chicken,13,"Let simmer for 1 to 2 minutes, until the chicken is cooked through. Timing depends on how thick you've cut your chicken. The best way to tell if the chicken is done is to take a piece out and cut into it. If it's pink, add another minute to the cooking.","Để lửa nhỏ khoảng 1 đến 2 phút, cho đến khi thịt gà chín. Thời gian phụ thuộc vào độ dày của miếng gà bạn cắt. Cách tốt nhất để biết gà chín chưa là lấy một miếng ra và cắt thử. Nếu thịt còn màu hồng, nấu thêm một phút nữa."
sweet-and-sour-chicken,Sweet and Sour Chicken,14,Adjust the seasoning and serve:,Nêm nếm lại và dọn ra:
sweet-and-sour-chicken,Sweet and Sour Chicken,15,"Taste the sauce and add more brown sugar or vinegar to suit your tastes, if you’d like.","Nếm nước sốt và thêm đường nâu hoặc giấm cho vừa khẩu vị, nếu muốn."
sweet-and-sour-chicken,Sweet and Sour Chicken,16,Serve hot with steamed white or brown rice.,Dùng nóng với cơm trắng hoặc cơm gạo lứt đã hấp.
aubergine--hummus-grills,Aubergine & hummus grills,1,"Lay the aubergine out in one layer on a large baking sheet. Brush sparingly with vegetable oil, then season generously. Grill for 15 mins, turning twice and brushing with oil until the slices are softened and cooked through. Meanwhile, whizz the bread into crumbs. Add 2 tsp oil and whizz briefly again, to coat.","Trải cà tím ra thành một lớp trên khay nướng lớn. Quét sơ dầu thực vật lên, sau đó nêm gia vị đậm đà. Nướng trong 15 phút, lật hai lần và phết thêm dầu cho đến khi các lát cà tím mềm và chín hẳn. Trong khi đó, xay bánh mì thành vụn. Thêm 2 thìa cà phê dầu và xay nhanh lại lần nữa để áo đều."
aubergine--hummus-grills,Aubergine & hummus grills,2,"Spread a couple of tsps of hummus on top of each slice of aubergine. Tip the breadcrumbs onto a large plate, then press the hummus side of the aubergines into the crumbs to coat. Grill again, crumb-side up, for about 3 mins until golden.","Phết vài muỗng cà phê sốt hummus lên trên mỗi lát cà tím. Đổ vụn bánh mì ra đĩa lớn, sau đó ấn mặt cà tím có phết hummus vào vụn bánh mì để phủ kín. Nướng lại, mặt có vụn bánh mì hướng lên, khoảng 3 phút cho đến khi vàng."
aubergine--hummus-grills,Aubergine & hummus grills,3,"Toss the walnuts, parsley and cherry tomatoes in a bowl, season, then add the lemon juice and olive oil and toss again. Serve the grills with the salad, a dollop more hummus and some pitta bread.","Cho quả óc chó, rau mùi tây và cà chua bi vào tô, nêm gia vị, sau đó thêm nước cốt chanh và dầu ô liu rồi trộn lại. Dùng món nướng với salad, thêm một muỗng hummus và một ít bánh mì pitta."
shakshouka,Shakshouka,1,"First, pan fry the black pepper and garlic over a dry medium heat until fragrant.","Đầu tiên, rang tiêu đen và tỏi trên chảo khô với lửa vừa cho đến khi thơm."
shakshouka,Shakshouka,2,Add a good amount of extra virgin olive oil and infuse for a minute.,Thêm một lượng dầu ô liu nguyên chất vừa đủ và ngâm trong một phút.
shakshouka,Shakshouka,3,"Once the oil heats up, add the tomatoes and salt, and cover with a lid. Simmer for 5 minutes.","Dầu nóng, cho cà chua và muối vào, đậy nắp. Kho 5 phút."
shakshouka,Shakshouka,4,Remove the lid and mash the tomatoes. Reduce until you reach the desired consistency of choice.,Mở nắp và dằm cà chua. Kho/nấu nhỏ lửa cho đến khi đạt độ sệt mong muốn.
shakshouka,Shakshouka,5,"Make craters for the eggs and lower the heat. Carefully crack the eggs into the craters, making sure it touches the pan and not the tomato sauce.","Tạo các chỗ trũng cho trứng và giảm nhiệt. Cẩn thận đập trứng vào các chỗ trũng, đảm bảo trứng chạm vào chảo chứ không phải sốt cà chua."
shakshouka,Shakshouka,6,Cover the eggs and leave it for 5 minutes without lifting the lid.,Đậy trứng lại và để yên 5 phút mà không nhấc nắp ra.
