recipe_code,name_en,name_vn,instructions_en,instructions_vn
shawarma-chuck-roast-wrap,Shawarma chuck roast wrap,Thịt bò nướng cuốn,"1  In a dutch oven or slow cooker, add all the spices, beef broth and lemon juice. Stir to combine..  2  Add the beef and turn to coat, spoon some sauce over the top.  3  Cover and cook on low for 8-10 hours.  4  After cooking, remove beef and use two forks to shred. Discard any excess fat.  5  Skim fat off of the top of the liquid remaining.  6  Mix shredded beef into sauce. Keep warm until you are ready to serve.  7  Build wrap by spreading garlic sauce on the pita. Top with beef and add garnishes to your liking.  8  Fold it burrito style.  9  Heat a grill pan and grill the wrap.","1 Cho tất cả gia vị, nước dùng bò và nước cốt chanh vào nồi gang hoặc nồi nấu chậm. Khuấy đều. 2 Cho thịt bò vào và đảo đều, dùng muỗng rưới một ít nước sốt lên trên. 3 Đậy nắp và nấu nhỏ lửa trong 8-10 giờ. 4 Sau khi nấu, lấy thịt bò ra và dùng hai chiếc nĩa xé nhỏ. Bỏ bớt mỡ thừa. 5 Vớt bọt mỡ ra khỏi mặt nước sốt còn lại. 6 Trộn thịt bò xé nhỏ vào nước sốt. Giữ ấm cho đến khi sẵn sàng phục vụ. 7 Cuốn bánh bằng cách phết sốt tỏi lên bánh pita. Cho thịt bò lên trên và thêm đồ trang trí tùy thích. 8 Gấp theo kiểu burrito. 9 Làm nóng chảo nướng và nướng bánh đã cuốn."
jamaican-curry-goat,Jamaican Curry Goat,Cà ri dê,"Equipment    6QT Pressure cooker    Instructions     Rinse goat meat with vinegar and water.  Season goat meat with 1 ½ tablespoon curry powder, all-purpose seasoning, ground ginger, allspice, onion, garlic cloves, and thyme. Marinate for at least 4 hours or up to overnight.  Remove onion and garlic from goat and set aside.  Set an electric pressure cooker, like an Instant Pot, on high sauté and add oil. Add goat meat and brown, about 2-3 minutes per side. Remove goat from insert and add 1 tablespoon oil and remaining curry powder and sauté for about 10 seconds. Then add onions and garlic and sauté until softened. About 4 minutes. If the onions look dry, add a little water and continue to sauté.  Add goat and water to the pressure cooker and cover the pressure cooker. Cook for 40 minutes on high pressure. Allow to naturally release for 10 minutes, then release the remaining pressure.  Once all the pressure has been released, open the pressure cooker. Place on sauté for 10-15 minutes, add potatoes and a whole scotch bonnet pepper. Cook until potatoes have softened. Remove scotch bonnet pepper.","Thiết bị: Nồi áp suất 6 lít. Hướng dẫn: Rửa thịt dê với giấm và nước. Ướp thịt dê với 1 ½ muỗng canh bột cà ri, gia vị đa năng, gừng xay, tiêu Jamaica, hành tây, tép tỏi và cỏ xạ hương. Ướp ít nhất 4 giờ hoặc qua đêm. Lấy hành tây và tỏi ra khỏi thịt dê và để riêng. Đặt nồi áp suất điện, như Instant Pot, ở chế độ xào cao và thêm dầu ăn. Thêm thịt dê và áp chảo vàng đều, khoảng 2-3 phút mỗi mặt. Lấy thịt dê ra khỏi lòng nồi và thêm 1 muỗng canh dầu ăn cùng bột cà ri còn lại, xào khoảng 10 giây. Sau đó thêm hành tây và tỏi vào, xào cho đến khi mềm. Khoảng 4 phút. Nếu hành tây trông khô, thêm một ít nước và tiếp tục xào. Thêm thịt dê và nước vào nồi áp suất và đậy nắp. Nấu 40 phút ở áp suất cao. Để xả áp tự nhiên trong 10 phút, sau đó xả áp còn lại. Sau khi áp suất đã được xả hết, mở nồi áp suất. Chuyển sang chế độ xào trong 10-15 phút, thêm khoai tây và một quả ớt scotch bonnet nguyên trái. Nấu cho đến khi khoai tây mềm. Lấy ớt scotch bonnet ra."
portuguese-prego-with-green-piri-piri,Portuguese prego with green piri-piri,Bánh mì kẹp thịt bò sốt piri-piri xanh,"STEP 1    Rub the garlic over the steaks then put in a sandwich bag and tip in the olive oil, sherry vinegar and parsley stalks. Smoosh everything together, then use a rolling pin to bash the steaks a few times. Leave for 1-2 hours.    STEP 2    To make the sauce, put all the ingredients into a blender with 1 tbsp water and whizz until as smooth as possible. This will make more than you’ll need for the recipe but will keep for a week in an airtight jar.    STEP 3    Heat a griddle or frying pan to high. Brush away the garlic and parsley stalks from the steaks and season well. Sear the steaks for 2 minutes on each side then rest on a plate. Put the ciabatta halves onto the plate, toasted-side down, to soak up any juices.    STEP 4    Slice the steaks then stuff into the rolls with the green sauce and rocket.","BƯỚC 1: Xoa tỏi lên bít tết, sau đó cho vào túi kẹp cùng dầu ô liu, giấm sherry và cuống ngò tây. Trộn đều, dùng cây cán bột đập nhẹ bít tết vài lần. Để khoảng 1-2 giờ. BƯỚC 2: Làm sốt: cho tất cả nguyên liệu vào máy xay sinh tố cùng 1 muỗng canh nước, xay nhuyễn hết mức có thể. Phần sốt này sẽ nhiều hơn mức cần thiết cho công thức nhưng có thể bảo quản trong lọ kín khí một tuần. BƯỚC 3: Làm nóng vỉ nướng hoặc chảo chiên ở lửa lớn. Gạt bỏ tỏi và cuống ngò tây khỏi bít tết, nêm gia vị kỹ. Áp chảo bít tết 2 phút mỗi mặt rồi đặt ra đĩa cho nghỉ. Đặt nửa ổ ciabatta vào đĩa, mặt nướng úp xuống, để thấm nước cốt. BƯỚC 4: Thái lát bít tết, sau đó nhồi vào cuộn bánh mì cùng sốt xanh và rau rocket."
golabki-cabbage-roll,Golabki (cabbage roll),Bắp cải cuốn thịt,"Bring a large pot of lightly salted water to a boil. Place cabbage head into water, cover pot, and cook until cabbage leaves are slightly softened enough to remove from head, 3 minutes. Remove cabbage from pot and let cabbage sit until leaves are cool enough to handle, about 10 minutes.    Remove 18 whole leaves from the cabbage head, cutting out any thick tough center ribs. Set whole leaves aside. Chop the remainder of the cabbage head and spread it in the bottom of a casserole dish.    Melt butter in a large skillet over medium-high heat. Cook and stir onion in hot butter until tender, 5 to 10 minutes. Cool.    Stir onion, beef, pork, rice, garlic, 1 teaspoon salt, and 1/4 teaspoon pepper together in a large bowl.    Preheat oven to 350 degrees F (175 degrees C).    Place about 1/2 cup beef mixture on a cabbage leaf. Roll cabbage around beef mixture, tucking in sides to create an envelope around the meat. Repeat with remaining leaves and meat mixture. Place cabbage rolls in a layer atop the chopped cabbage in the casserole dish; season rolls with salt and black pepper.    Whisk tomato soup, tomato juice, and ketchup together in a bowl. Pour tomato soup mixture over cabbage rolls and cover dish wish aluminum foil.    Bake in the preheated oven until cabbage is tender and meat is cooked through, about 1 hour.","Đun sôi nồi nước lớn có chút muối. Cho bắp cải vào nồi, đậy nắp, nấu khoảng 3 phút cho lá bắp cải mềm bớt và dễ tách ra. Vớt bắp cải ra, để nguội khoảng 10 phút cho dễ cầm. Tách 18 lá bắp cải nguyên vẹn, cắt bỏ gân cứng. Để riêng lá nguyên. Băm nhỏ phần bắp cải còn lại, rải đều dưới đáy khay nướng. Đun chảy bơ trong chảo lớn trên lửa vừa cao. Xào hành tây trong bơ nóng cho đến khi mềm, 5 đến 10 phút. Để nguội. Trộn hành tây, thịt bò, thịt heo, gạo, tỏi, 1 muỗng cà phê muối, và 1/4 muỗng cà phê tiêu trong tô lớn. Làm nóng lò nướng ở 350 độ F (175 độ C). Đặt khoảng 1/2 chén hỗn hợp thịt bò lên lá bắp cải. Cuộn bắp cải quanh hỗn hợp thịt, gập các cạnh vào để tạo thành hình phong bì. Lặp lại với các lá và hỗn hợp thịt còn lại. Xếp cuộn bắp cải thành một lớp trên bắp cải đã thái nhỏ trong khay nướng; nêm muối và tiêu đen. Đánh tan súp cà chua, nước ép cà chua, và tương cà trong tô. Đổ hỗn hợp súp cà chua lên cuộn bắp cải, đậy khay bằng giấy bạc. Nướng trong lò đã làm nóng trước cho đến khi bắp cải mềm và thịt chín, khoảng 1 giờ."
salmon-eggs-eggs-benedict,Salmon Eggs Eggs Benedict,Trứng Benedict cá hồi,"First make the Hollandaise sauce. Put the lemon juice and vinegar in a small bowl, add the egg yolks and whisk with a balloon whisk until light and frothy. Place the bowl over a pan of simmering water and whisk until mixture thickens. Gradually add the butter, whisking constantly until thick – if it looks like it might be splitting, then whisk off the heat for a few mins. Season and keep warm.    To poach the eggs, bring a large pan of water to the boil and add the vinegar. Lower the heat so that the water is simmering gently. Stir the water so you have a slight whirlpool, then slide in the eggs one by one. Cook each for about 4 mins, then remove with a slotted spoon.    Lightly toast and butter the muffins, then put a couple of slices of salmon on each half. Top each with an egg, spoon over some Hollandaise and garnish with chopped chives.","Đầu tiên làm sốt Hollandaise. Cho nước cốt chanh và giấm vào tô nhỏ, thêm lòng đỏ trứng, dùng cây đánh trứng bóng đánh đến khi hỗn hợp nhẹ và sủi bọt. Đặt tô lên nồi nước sôi lăn tăn và đánh đến khi hỗn hợp đặc lại. Từ từ thêm bơ, đánh liên tục cho đến khi đặc – nếu có vẻ bị tách, đánh thêm vài phút ngoài bếp. Nêm nếm và giữ ấm. Để luộc trứng, đun sôi một nồi nước lớn và thêm giấm. Giảm lửa để nước sôi lăn tăn nhẹ nhàng. Khuấy nước tạo thành xoáy nhẹ, sau đó thả trứng vào từng quả một. Luộc mỗi quả khoảng 4 phút, sau đó vớt ra bằng muỗng thủng. Nướng và phết bơ nhẹ lên bánh muffin, sau đó đặt vài lát cá hồi lên mỗi nửa. Đặt trứng lên trên mỗi phần, múc một ít sốt Hollandaise lên và trang trí bằng hẹ tây xắt nhỏ."
venezuelan-arepas,Venezuelan Arepas,Bánh arepa Venezuela,"Preheat oven to 410° F.  Pour the water into a large bowl. Make sure it is room temperature.  Add the salt. Blend well with a mixer, fork or spatula to make sure it dissolves well.  While you continue to beat the mixture, slowly add the corn meal—a little bit at a time.  Once all the flour is added, keep mixing until the corn meal, water and salt are thoroughly blended and dissolved.  Set aside the masa in its bowl. Let it rest for 5 minutes so that the flour is thoroughly hydrated. This type of corn flour does not have any gluten, so it doesn’t need to be kneaded. The masa should be smooth, firm yet malleable.  While waiting for the 5 minutes’ rest, heat your budare (or comal, griddle, cast-iron pan or non-stick pan) over medium heat. Coat with a little bit of the oil.  Fill a small bowl with water to wet your hands to make the arepas.  Take about 2 Tbsp of the masa in your damp hands. The masa should fit easily in your palm so that it is easy to shape into a small ball.    Cross your hands, so that one is on top of the other, with the masa ball between them. Rotate your right hand in a circle, so that you are at the same time both pressing the masa into a flat disc and keeping its round shape.  arepa making  The last step in shaping your arepa is to quickly pass and lightly press the masa disc from one hand to the other until it is about ¾ of an inch thick and 4 inches wide. Smooth the edges with your fingertips (quickly dip them into the water bowl first) so that they stay as round as possible and without cracks.  arepa making  Place your arepas in batches on the preheated surface of your budare griddle or nonstick pan. Let each side turn golden, about 4 to 5 minutes per side. Check them often so that they don’t burn.  Once they are nicely browned on both sides, place the arepas on a baking sheet in your preheated oven for 10 minutes. They should be somewhat puffy, so that if you tap an arepa lightly on top, it will sound like you are tapping an empty box.  Serve arepas hot, whether you stuff with them with your choice of fillings or serve solo to accompany your favorite Venezuelan guiso or stew.","Làm nóng lò nướng ở 410° F. Đổ nước vào bát lớn, đảm bảo nước ở nhiệt độ phòng. Thêm muối. Trộn đều bằng máy trộn, nĩa hoặc spatula để muối tan. Tiếp tục đánh, từ từ thêm bột ngô, từng chút một. Khi đã thêm hết bột, tiếp tục trộn cho đến khi bột ngô, nước và muối hòa quyện và tan hoàn toàn. Đặt khối bột (masa) sang một bên trong bát. Để bột nghỉ 5 phút cho bột ngấm nước hoàn toàn. Loại bột ngô này không chứa gluten nên không cần nhào. Khối bột phải mịn, chắc nhưng dễ uốn nắn. Trong khi chờ bột nghỉ 5 phút, làm nóng budare (hoặc comal, chảo nướng, chảo gang hoặc chảo chống dính) ở lửa vừa. Phết một chút dầu. Đổ nước vào bát nhỏ để làm ướt tay khi tạo hình arepas. Lấy khoảng 2 muỗng canh bột trong tay ẩm. Khối bột nên nằm gọn trong lòng bàn tay để dễ dàng nặn thành viên tròn nhỏ. Đặt hai tay chồng lên nhau, với viên bột ở giữa. Xoay tay phải theo hình tròn, đồng thời ép bột thành đĩa dẹt và giữ hình tròn. Bước cuối cùng để tạo hình arepa là nhanh chóng chuyền và ấn nhẹ đĩa bột từ tay này sang tay kia cho đến khi dày khoảng ¾ inch và rộng 4 inch. Làm mịn các cạnh bằng đầu ngón tay (nhúng nhanh vào bát nước trước) để chúng tròn nhất có thể và không bị nứt. Đặt arepas thành từng mẻ lên bề mặt đã làm nóng trước của budare hoặc chảo chống dính. Để mỗi mặt chuyển sang màu vàng, khoảng 4 đến 5 phút mỗi mặt. Kiểm tra thường xuyên để chúng không bị cháy. Khi đã vàng đều cả hai mặt, đặt arepas lên khay nướng trong lò đã làm nóng trước 10 phút. Chúng sẽ hơi phồng lên, nếu gõ nhẹ lên trên, sẽ nghe như gõ vào một hộp rỗng. Phục vụ arepas khi còn nóng, có thể nhồi nhân tùy chọn hoặc ăn kèm với món hầm (guiso) yêu thích của Venezuela."
shawarma-bread,Shawarma bread,Bánh mì shawarma,"1  Sieve flour and add baking powder,salt,sugar,oil nd mix together  2  Add water nd knead the dough for like 10mins  3  Cover the mixture and allow it to rise  4  After it rised transfer it to a work surface and form a round (you can use a plate or pot's lid)  5  Heat ur pan and put it  6  It'll start puffing then you turn it  7  And lastly put it in in a warm place, then you'll see it has pocket","1.  Rây bột mì, thêm bột nở, muối, đường, dầu ăn và trộn đều. 2. Thêm nước và nhào bột khoảng 10 phút. 3. Đậy hỗn hợp và để bột nở. 4. Sau khi bột nở, chuyển sang mặt phẳng làm việc và tạo hình tròn (có thể dùng đĩa hoặc nắp nồi). 5. Làm nóng chảo và cho bột vào. 6. Khi bánh bắt đầu phồng lên thì lật mặt. 7. Cuối cùng, đặt bánh ở nơi ấm, bánh sẽ tạo ra các túi khí."
patatas-bravas,Patatas bravas,Khoai tây chiên sốt cay,"step 1  Heat the oil in a pan and fry the onion for about 5 mins until softened. Add the garlic, chopped tomatoes, tomato purée, sweet paprika, chilli powder, sugar and a pinch of salt, then bring to the boil, stirring occasionally. Lower to a simmer and cook for 10 mins until pulpy. Can be kept chilled for up to 24 hrs.    step 2  Heat oven to 200C/180C fan/gas 6. Pat the potatoes dry with kitchen paper, then tip into a roasting tin and toss in the olive oil and some seasoning. Roast for 40-50 mins until crisp and golden. Tip the potatoes into serving dishes and spoon over the tomato sauce. Sprinkle with some fresh parsley to serve.","Bước 1: Đun nóng dầu ăn trong chảo và phi hành tây khoảng 5 phút cho đến khi mềm. Cho tỏi, cà chua thái hạt lựu, tương cà, ớt bột ngọt, bột ớt, đường và một nhúm muối vào, sau đó đun sôi, thỉnh thoảng khuấy đều. Giảm lửa nhỏ và đun liu riu trong 10 phút cho đến khi sệt lại. Có thể bảo quản lạnh đến 24 giờ.

Bước 2: Làm nóng lò nướng ở 200°C/180°C quạt/gas 6. Dùng giấy ăn thấm khô khoai tây, sau đó cho vào khay nướng, trộn với dầu ô liu và gia vị. Nướng trong 40-50 phút cho đến khi giòn và vàng. Cho khoai tây ra đĩa phục vụ và rưới nước sốt cà chua lên trên. Rắc một ít ngò tây tươi lên trên để dùng."
chicken-fajita-mac-and-cheese,Chicken Fajita Mac and Cheese,Mì Ống Phô Mai Gà Fajita,"Fry your onion, peppers and garlic in olive oil until nicely translucent. Make a well in your veg and add your chicken. Add your seasoning and salt. Allow to colour slightly.  Add your cream, stock and macaroni.  Cook on low for 20 minutes. Add your cheeses, stir to combine.  Top with roasted peppers and parsley.","Phi hành tây, ớt chuông và tỏi với dầu ô liu đến khi trong. Tạo khoảng trống giữa rau củ, cho gà vào. Thêm gia vị và muối. Chiên sơ để gà hơi chuyển màu. Thêm kem, nước dùng và nui/macaroni. Nấu nhỏ lửa trong 20 phút. Thêm phô mai, khuấy đều. Trang trí bằng ớt chuông rang và ngò tây."
grilled-mac-and-cheese-sandwich,Grilled Mac and Cheese Sandwich,Bánh mì kẹp nui phô mai nướng,"Make the mac and cheese    1. Bring a medium saucepan of generously salted water (you want it to taste like seawater) to a boil. Add the pasta and cook, stirring occasionally, until al dente, 8 to 10 minutes, or according to the package directions. The pasta should be tender but still chewy.  2. While the pasta is cooking, in a small bowl, whisk together the flour, mustard powder, garlic powder, salt, black pepper, and cayenne pepper.  3. Drain the pasta in a colander. Place the empty pasta pan (no need to wash it) over low heat and add the butter. When the butter has melted, whisk in the flour mixture and continue to cook, whisking frequently, until the mixture is beginning to brown and has a pleasant, nutty aroma, about 1 minute. Watch carefully so it does not scorch on the bottom of the pan.  4. Slowly whisk the milk and cream into the flour mixture until everything is really well combined. Cook, whisking constantly, until the sauce is heated through and just begins to thicken, about 2 minutes. Remove from the heat. Gradually add the cheese while stirring constantly with a wooden spoon or silicone spatula and keep stirring until the cheese has melted into the sauce. Then stir in the drained cooked pasta.  5. Line a 9-by-13-inch (23-by-33-centimeter) rimmed baking sheet with parchment paper or aluminum foil. Coat the paper or foil with nonstick cooking spray or slick it with butter. Pour the warm mac and cheese onto the prepared baking sheet and spread it evenly with a spatula. Coat another piece of parchment paper with cooking spray or butter and place it, oiled or buttered side down, directly on the surface of the mac and cheese. Refrigerate until cool and firm, about 1 hour.    Make the grilled cheese  6. Heat a large cast-iron or nonstick skillet over medium-low heat.  7. In a small bowl, stir together the 4 tablespoons (55 grams) butter and garlic powder until well blended.  8. Remove the mac and cheese from the refrigerator and peel off the top layer of parchment paper. Carefully cut into 8 equal pieces. Each piece will make 1 grilled mac and cheese sandwich. (You can stash each individual portion in a double layer of resealable plastic bags and refrigerate for up to 3 days or freeze it for up to 1 month.)  9. Spread 3/4 teaspoon garlic butter on one side of each bread slice. Place half of the slices, buttered-side down, on a clean cutting board. Top each with one slice of Cheddar, then 1 piece of the mac and cheese. (Transfer from the baking sheet by scooting your hand or a spatula under each piece of mac and cheese and then flipping it over onto a sandwich.) Place 1 slice of Jack on top of each. Finish with the remaining bread slices, buttered-side up.  10. Using a wide spatula, place as many sandwiches in the pan as will fit without crowding it. Cover and cook until the bottoms are nicely browned, about 4 minutes. Turn and cook until the second sides are browned, the cheese is melted, and the mac and cheese is heated through, about 4 minutes more.  11. Repeat with the remaining ingredients. Cut the sandwiches in half, if desired, and serve.","Làm mac and cheese1.  Đun sôi một nồi nước vừa, cho nhiều muối (nước mặn như nước biển). Cho nui vào, thỉnh thoảng khuấy, nấu đến khi al dente, khoảng 8 đến 10 phút, hoặc theo hướng dẫn trên bao bì. Nui phải mềm nhưng vẫn dai.
2.  Trong khi nui đang nấu, dùng tô nhỏ, đánh đều bột mì, bột mù tạt, bột tỏi, muối, tiêu đen và tiêu cayenne.
3.  Vớt nui ra rổ cho ráo nước. Đặt nồi nui không (không cần rửa) lên bếp lửa nhỏ, cho bơ vào. Khi bơ tan chảy, cho hỗn hợp bột vào đánh đều, tiếp tục nấu, khuấy thường xuyên, cho đến khi hỗn hợp bắt đầu chuyển sang màu nâu và có mùi thơm bùi, khoảng 1 phút. Quan sát cẩn thận để tránh bị cháy ở đáy nồi.
4.  Từ từ cho sữa tươi và kem sữa vào hỗn hợp bột, đánh đều đến khi hòa quyện hoàn toàn. Nấu, khuấy liên tục, cho đến khi nước sốt nóng lên và bắt đầu sánh lại, khoảng 2 phút. Nhấc khỏi bếp. Từ từ cho phô mai vào, dùng muỗng gỗ hoặc spatula silicon khuấy liên tục cho đến khi phô mai tan chảy hoàn toàn vào nước sốt. Sau đó cho nui đã luộc chín và ráo nước vào khuấy đều.
5.  Lót giấy nến hoặc giấy bạc lên khay nướng có vành 9 x 13 inch (23 x 33 cm). Xịt chống dính hoặc thoa bơ lên giấy nến hoặc giấy bạc. Đổ mac and cheese còn ấm lên khay đã chuẩn bị, dùng spatula dàn đều. Xịt chống dính hoặc thoa bơ lên một miếng giấy nến khác, đặt mặt có dầu hoặc bơ trực tiếp lên bề mặt mac and cheese. Cho vào tủ lạnh đến khi nguội và đặc lại, khoảng 1 giờ.Làm grilled cheese
6\. Làm nóng chảo gang lớn hoặc chảo chống dính trên lửa vừa nhỏ.
7\. Dùng tô nhỏ, trộn đều 4 muỗng canh (55 gram) bơ và bột tỏi cho đến khi hòa quyện.
8\. Lấy mac and cheese ra khỏi tủ lạnh và bóc lớp giấy nến trên cùng. Cẩn thận cắt thành 8 miếng bằng nhau. Mỗi miếng làm được 1 bánh sandwich grilled mac and cheese. (Bạn có thể bọc từng phần trong túi ni lông có khóa kéo hai lớp và bảo quản trong tủ lạnh tối đa 3 ngày hoặc cấp đông tối đa 1 tháng.)
9\. Phết 3/4 muỗng cà phê bơ tỏi lên một mặt của mỗi lát bánh mì. Đặt một nửa số lát bánh mì, mặt có bơ úp xuống, lên thớt sạch. Xếp một lát phô mai Cheddar lên trên mỗi lát, sau đó là 1 miếng mac and cheese. (Chuyển từ khay nướng bằng cách dùng tay hoặc spatula trượt xuống dưới mỗi miếng mac and cheese rồi lật úp lên bánh sandwich.) Đặt 1 lát phô mai Jack lên trên mỗi chiếc. Cuối cùng, đặt phần bánh mì còn lại lên trên, mặt có bơ ngửa lên.
10\. Dùng spatula rộng, đặt nhiều bánh sandwich vào chảo nhất có thể mà không bị chật. Đậy nắp và nấu cho đến khi mặt dưới vàng đẹp, khoảng 4 phút. Lật mặt và nấu cho đến khi mặt còn lại vàng, phô mai tan chảy và mac and cheese nóng đều, khoảng 4 phút nữa.
11\. Lặp lại với các nguyên liệu còn lại. Cắt đôi bánh sandwich nếu muốn và dùng."
beef-brisket-pot-roast,Beef Brisket Pot Roast,Thịt ức bò kho,"1 Prepare the brisket for cooking: On one side of the brisket there should be a layer of fat, which you want. If there are any large chunks of fat, cut them off and discard them. Large pieces of fat will not be able to render out completely.  Using a sharp knife, score the fat in parallel lines, about 3/4-inch apart. Slice through the fat, not the beef. Repeat in the opposite direction to make a cross-hatch pattern.  Salt the brisket well and let it sit at room temperature for 30 minutes.     2 Sear the brisket: You'll need an oven-proof, thick-bottomed pot with a cover, or Dutch oven, that is just wide enough to hold the brisket roast with a little room for the onions.  Pat the brisket dry and place it, fatty side down, into the pot and place it on medium high heat. Cook for 5-8 minutes, lightly sizzling, until the fat side is nicely browned. (If the roast seems to be cooking too fast, turn the heat down to medium. You want a steady sizzle, not a raging sear.)  Turn the brisket over and cook for a few minutes more to brown the other side.    3 Sauté the onions and garlic: When the brisket has browned, remove it from the pot and set aside. There should be a couple tablespoons of fat rendered in the pot, if not, add some olive oil.  Add the chopped onions and increase the heat to high. Sprinkle a little salt on the onions. Sauté, stirring often, until the onions are lightly browned, 5-8 minutes. Stir in the garlic and cook 1-2 more minutes.     4 Return brisket to pot, add herbs, stock, bring to simmer, cover, cook in oven: Preheat the oven to 300°F. Use kitchen twine to tie together the bay leaves, rosemary and thyme.  Move the onions and garlic to the sides of the pot and nestle the brisket inside. Add the beef stock and the tied-up herbs. Bring the stock to a boil on the stovetop.  Cover the pot, place the pot in the 300°F oven and cook for 3 hours. Carefully flip the brisket every hour so it cooks evenly.     5 Add carrots, continue to cook: After 3 hours, add the carrots. Cover the pot and cook for 1 hour more, or until the carrots are cooked through and the brisket is falling-apart tender.  6 Remove brisket to cutting board, tent with foil: When the brisket is falling-apart tender, take the pot out of the oven and remove the brisket to a cutting board. Cover it with foil. Pull out and discard the herbs.  7 Make sauce (optional): At this point you have two options. You can serve as is, or you can make a sauce with the drippings and some of the onions. If you serve as is, skip this step.  To make a sauce, remove the carrots and half of the onions, set aside and cover them with foil. Pour the ingredients that are remaining into the pot into a blender, and purée until smooth. If you want, add 1 tablespoon of mustard to the mix. Put into a small pot and keep warm.  8 Slice the meat across the grain: Notice the lines of the muscle fibers of the roast. This is the ""grain"" of the meat. Slice the meat perpendicular to these lines, or across the grain (cutting this way further tenderizes the meat), in 1/4-inch to 1/2-inch slices.  Serve with the onions, carrots and gravy. Serve with mashed, roasted or boiled potatoes, egg noodles or polenta.","1 Chuẩn bị thịt ức bò: Trên một mặt của thịt có lớp mỡ, giữ lại. Nếu có miếng mỡ lớn, cắt bỏ. Dùng dao sắc khứa lên lớp mỡ theo đường song song, cách nhau khoảng 3/4 inch. Chỉ khứa qua mỡ, không khứa vào thịt bò. Lặp lại theo hướng đối diện để tạo hình ca-rô. Xát muối kỹ lên thịt và để ở nhiệt độ phòng 30 phút.
2 Áp chảo thịt ức bò: Cần một nồi gang hoặc nồi đáy dày có nắp, có thể dùng trong lò nướng, đủ rộng để vừa miếng thịt và một chút chỗ cho hành tây. Vỗ khô miếng thịt và đặt mặt có mỡ xuống nồi, đặt lên bếp lửa vừa cao. Nấu 5-8 phút, xèo nhẹ, cho đến khi mặt mỡ chuyển màu nâu đẹp. (Nếu thịt chín quá nhanh, giảm lửa xuống trung bình. Cần tiếng xèo đều, không phải áp chảo quá mạnh.) Lật miếng thịt và nấu thêm vài phút để áp chảo mặt còn lại.
3 Phi hành tây và tỏi: Khi thịt đã áp chảo, lấy ra khỏi nồi và để riêng. Nên có vài muỗng canh mỡ tiết ra trong nồi, nếu không, thêm dầu ô liu. Thêm hành tây đã thái hạt lựu và tăng lửa lên cao. Rắc một chút muối lên hành tây. Xào, khuấy thường xuyên, cho đến khi hành tây chuyển màu nâu nhạt, 5-8 phút. Cho tỏi vào và nấu thêm 1-2 phút.
4 Cho thịt vào lại nồi, thêm rau thơm, nước dùng, đun sôi, đậy nắp, hầm trong lò: Làm nóng lò nướng đến 300°F. Dùng dây buộc bếp buộc lá nguyệt quế, hương thảo và cỏ xạ hương lại với nhau. Gạt hành tây và tỏi sang hai bên nồi và đặt miếng thịt vào giữa. Thêm nước dùng bò và bó rau thơm. Đun nước dùng sôi trên bếp. Đậy nắp nồi, đặt nồi vào lò nướng 300°F và hầm 3 giờ. Cẩn thận lật miếng thịt mỗi giờ để thịt chín đều.
5 Thêm cà rốt, tiếp tục hầm: Sau 3 giờ, thêm cà rốt. Đậy nắp nồi và hầm thêm 1 giờ, hoặc cho đến khi cà rốt chín mềm và thịt ức bò mềm rục.
6 Lấy thịt ra thớt, phủ giấy bạc: Khi thịt ức bò mềm rục, lấy nồi ra khỏi lò và chuyển thịt ra thớt. Đậy bằng giấy bạc. Vớt và bỏ rau thơm.
7 Làm nước sốt (tùy chọn): Lúc này có hai lựa chọn. Có thể dùng ngay, hoặc làm nước sốt từ nước hầm và một ít hành tây. Nếu dùng ngay, bỏ qua bước này. Để làm nước sốt, lấy cà rốt và một nửa hành tây ra, để riêng và phủ giấy bạc. Đổ nguyên liệu còn lại trong nồi vào máy xay sinh tố, xay nhuyễn. Nếu muốn, thêm 1 muỗng canh mù tạt vào hỗn hợp. Cho vào nồi nhỏ và giữ ấm.
8 Thái thịt ngang thớ: Quan sát các đường sợi cơ của miếng thịt. Đây là ""thớ"" thịt. Thái thịt vuông góc với các đường này, hoặc ngang thớ (thái cách này giúp thịt mềm hơn), thành lát dày 1/4 inch đến 1/2 inch. Dùng kèm với hành tây, cà rốt và nước sốt. Dùng kèm với khoai tây nghiền, nướng hoặc luộc, mì trứng hoặc bột bắp polenta."
